studentID,score_exam1,score_exam2,num_total_activities,num_exams,num_activity1,num_activity2,num_activity3,num_activity4
1,154,154,7,2,4,1,0,0
2,156,156,4,1,0,2,1,0
3,151,161,29,2,14,5,4,1
4,140,146,83,3,28,7,6,6
5,146,146,13,1,11,1,0,0
6,155,163,97,9,82,1,0,5
7,163,163,2,1,0,1,0,0
8,138,147,81,4,43,0,1,25
9,142,148,45,3,28,3,4,3
10,153,163,30,5,12,5,2,6
11,141,148,10,3,0,3,3,1
12,131,131,5,1,0,1,0,0
13,148,157,149,3,54,9,6,13
14,147,153,49,4,22,8,6,9
15,153,153,47,1,38,1,3,3
16,149,162,138,5,100,7,5,12
17,151,159,17,2,4,7,3,0
18,146,146,23,1,17,1,2,0
19,157,161,70,6,54,6,4,0
20,155,155,5,1,0,0,2,0
21,122,144,10,2,4,3,1,0
22,154,154,6,1,3,1,0,0
23,158,171,107,37,62,3,3,0
24,136,139,18,2,0,7,4,2
25,145,148,36,2,23,5,3,2
26,147,151,31,3,10,3,5,1
27,139,139,18,1,2,7,1,3
28,148,159,102,11,60,6,4,1
29,138,138,41,1,34,4,2,0
30,150,174,85,12,58,0,1,0
31,146,156,107,3,23,7,6,35
32,154,164,149,11,61,6,6,65
33,167,178,75,13,60,0,0,0
34,145,145,69,2,46,8,4,7
35,146,154,56,3,29,8,6,10
36,134,134,12,3,8,0,0,0
37,143,143,23,3,8,7,4,1
38,143,143,3,1,0,0,1,0
39,150,167,180,6,88,6,6,25
40,161,170,175,31,107,0,0,35
41,146,158,26,7,9,4,4,0
42,152,160,75,2,41,8,6,18
43,155,165,27,6,1,8,5,7
44,152,152,83,2,53,9,5,4
45,152,152,13,1,6,4,2,0
46,142,142,2,1,0,1,0,0
47,142,156,2,2,0,0,0,0
48,155,155,23,1,3,5,2,12
49,145,145,27,1,12,6,6,2
50,141,141,24,1,3,1,1,0
51,153,153,3,1,0,1,0,0
52,150,150,26,2,17,3,0,4
53,153,153,24,2,9,4,4,2
54,144,144,2,1,0,1,0,0
55,164,164,52,4,42,0,2,4
56,153,154,216,3,149,2,0,49
57,138,138,1,1,0,0,0,0
58,146,146,61,1,24,6,5,23
59,157,157,16,1,6,5,4,0
60,149,149,4,2,0,1,1,0
61,141,150,8,3,2,2,1,0
62,136,136,34,1,24,0,0,2
63,158,175,272,23,200,8,6,14
64,142,142,4,1,0,3,0,0
65,131,131,1,1,0,0,0,0
66,140,149,73,3,24,7,6,5
67,141,141,1,1,0,0,0,0
68,163,171,34,3,15,6,5,5
69,136,142,56,2,4,6,6,5
70,160,163,11,3,3,3,1,0
71,154,163,113,9,90,0,0,14
72,138,138,20,1,6,0,1,0
73,149,149,2,1,0,1,0,0
74,148,148,9,1,7,0,0,0
75,149,152,54,2,23,5,3,3
76,162,178,132,17,64,1,2,30
77,151,160,48,3,36,4,3,2
78,150,161,17,3,4,5,4,1
79,163,165,13,2,7,1,3,0
80,132,132,2,1,0,1,0,0
81,151,151,23,1,1,7,4,4
82,152,158,38,3,33,0,1,0
83,150,160,311,17,155,9,6,17
84,145,145,6,1,1,3,1,0
85,131,131,28,1,5,5,5,2
86,149,151,74,8,54,7,3,2
87,155,166,38,5,17,7,3,5
88,159,168,23,2,9,6,3,1
89,146,146,38,2,23,4,3,0
90,155,165,119,16,52,7,4,20
91,147,154,88,6,43,9,2,17
92,173,173,102,1,99,0,0,0
93,131,131,11,1,7,3,0,0
94,156,156,34,2,20,5,4,1
95,148,166,187,12,131,7,4,30
96,138,138,4,1,0,3,0,0
97,144,155,75,2,7,4,4,19
98,144,159,62,13,13,7,4,6
99,125,125,2,1,0,1,0,0
100,132,132,13,1,7,0,2,1
101,160,170,26,10,11,2,2,1
102,134,138,15,3,0,2,3,0
103,150,153,90,2,26,9,5,5
104,145,148,151,2,84,9,10,46
105,162,163,81,8,23,7,5,10
106,144,153,63,2,7,7,6,5
107,143,143,2,1,0,1,0,0
108,161,161,5,1,0,0,1,3
109,154,157,100,2,56,6,4,32
110,144,151,133,3,125,1,0,4
111,152,152,123,2,57,8,5,40
112,146,154,54,11,36,3,3,0
113,164,164,48,1,13,8,10,13
114,146,146,6,1,0,1,0,0
115,151,162,55,3,1,5,5,12
116,145,145,58,1,22,3,5,2
117,152,152,14,1,0,5,5,2
118,146,153,40,4,15,8,5,8
119,155,164,140,7,103,9,6,15
120,145,147,97,3,34,9,6,39
121,153,160,70,3,33,4,6,16
122,142,142,17,1,5,5,3,1
123,150,162,169,4,64,7,6,39
124,157,157,18,4,4,3,2,2
125,139,139,16,1,9,2,1,2
126,155,162,41,5,27,3,4,0
127,149,159,47,7,13,6,5,12
128,159,159,15,1,12,0,0,0
129,156,156,56,11,30,5,5,2
130,135,142,26,2,9,1,0,1
131,153,153,7,1,0,4,2,0
132,143,143,25,1,18,3,1,2
133,162,172,23,4,9,3,2,5
134,152,152,24,2,9,4,2,5
135,150,150,9,1,2,2,3,0
136,139,139,105,1,85,5,3,0
137,145,145,4,1,0,1,0,0
138,156,157,22,5,5,5,4,3
139,166,174,29,8,0,7,6,5
140,161,172,120,3,12,9,5,91
141,147,147,34,1,29,3,1,0
142,153,153,17,1,10,6,0,0
143,157,175,89,6,38,7,6,30
144,131,131,1,1,0,0,0,0
145,155,155,10,1,5,2,1,1
146,141,141,30,2,20,3,3,0
147,151,151,43,2,0,5,4,3
148,155,162,33,13,19,0,1,0
149,156,160,6,6,0,0,0,0
150,142,142,76,2,46,6,4,1
151,151,151,17,2,0,6,6,3
152,147,147,2,1,0,1,0,0
153,149,149,1,1,0,0,0,0
154,146,146,9,1,0,2,2,0
155,148,148,10,1,4,2,1,2
156,142,150,115,19,76,8,6,6
157,157,157,17,1,9,4,3,0
158,138,138,4,2,0,0,1,0
159,160,164,85,7,61,7,2,7
160,146,150,11,2,0,3,2,0
161,146,146,3,1,1,1,0,0
162,152,165,105,17,72,5,5,5
163,145,145,6,1,1,3,1,0
164,152,157,202,3,154,9,5,29
165,148,154,58,3,33,7,5,10
166,150,156,119,4,77,8,4,7
167,152,152,6,1,0,1,3,1
168,162,170,23,10,11,0,1,1
169,141,141,38,1,33,2,2,0
170,143,147,32,5,21,3,2,1
171,153,163,222,12,117,9,6,39
172,145,145,7,1,0,1,0,0
173,163,163,25,2,8,4,3,5
174,138,138,88,1,60,4,3,3
175,144,147,42,2,23,4,3,1
176,155,155,30,1,26,1,2,0
177,151,158,73,7,40,8,6,10
178,151,153,35,2,32,1,0,0
179,141,149,135,4,55,3,3,70
180,156,161,12,2,8,0,0,2
