studentID,status,test_type,total_questions,total_points,total_points_possible,score,completed_at
1,Failed,Practice Exam,85,59,85,69,2/9/2022 12:57
1,Failed,Mastery Exam,85,62,85,72,3/17/2022 10:36
2,Passed,Practice Exam,85,73,85,85,8/28/2022 21:17
2,Passed,Mastery Exam,85,78,85,91,8/29/2022 21:16
3,Passed,Practice Exam,74,45,74,60,10/8/2019 17:55
3,Passed,Mastery Exam,75,52,75,69,12/16/2019 3:28
4,Passed,Practice Exam,74,45,74,60,6/5/2019 22:58
4,Passed,Mastery Exam,75,44,75,58,7/19/2019 1:14
5,Passed,Practice Exam,85,66,85,77,11/7/2023 17:07
6,Passed,Mastery Exam,85,56,85,65,11/9/2021 21:37
7,Passed,Practice Exam,85,43,85,50,10/11/2020 17:05
8,Passed,Practice Exam,75,42,75,56,10/7/2020 13:03
9,Passed,Practice Exam,85,43,85,50,12/30/2020 9:05
10,Passed,Mastery Exam,85,67,85,78,9/11/2022 21:25
11,Passed,Mastery Exam,75,32,75,42,9/25/2019 12:58
11,Passed,Practice Exam,75,37,75,49,11/6/2018 17:45
12,Passed,Mastery Exam,85,58,85,68,4/8/2023 14:29
12,Passed,Practice Exam,85,54,85,63,4/7/2023 15:17
13,Passed,Practice Exam,74,41,74,55,8/3/2019 21:40
13,Passed,Mastery Exam,75,51,75,68,8/8/2019 22:29
14,Failed,Practice Exam,85,59,85,69,8/16/2023 21:25
14,Failed,Mastery Exam,85,62,85,72,8/20/2023 13:06
15,Passed,Practice Exam,85,47,85,55,11/17/2020 22:50
16,Passed,Practice Exam,85,65,85,76,6/17/2022 14:13
16,Passed,Mastery Exam,85,75,85,88,6/19/2022 15:08
17,Passed,Practice Exam,85,48,85,56,2/9/2022 12:39
17,Passed,Mastery Exam,85,46,85,54,2/10/2022 10:47
18,Passed,Practice Exam,85,64,85,75,1/19/2022 11:53
18,Passed,Mastery Exam,85,58,85,68,1/21/2022 15:42
19,Passed,Practice Exam,85,40,85,47,4/7/2021 1:41
19,Passed,Mastery Exam,85,35,85,41,9/22/2020 14:56
20,Passed,Practice Exam,85,48,85,56,4/2/2023 7:27
21,Passed,Practice Exam,85,72,85,84,4/26/2023 14:00
21,Passed,Mastery Exam,85,74,85,87,5/1/2023 11:43
22,Failed,Practice Exam,85,52,85,61,10/5/2022 12:56
22,Failed,Mastery Exam,85,45,85,52,10/7/2022 13:42
23,Passed,Mastery Exam,85,72,85,84,6/9/2023 12:30
23,Passed,Practice Exam,85,61,85,71,6/6/2023 14:21
24,Passed,Practice Exam,85,57,85,67,8/19/2021 22:59
25,Failed,Practice Exam,85,0,85,0,7/21/2022 15:23
25,Failed,Mastery Exam,85,43,85,50,8/17/2022 12:15
26,Passed,Practice Exam,75,42,75,56,5/25/2020 20:38
26,Passed,Mastery Exam,75,46,75,61,6/22/2020 20:46
27,Passed,Mastery Exam,75,33,75,44,3/10/2020 6:42
28,Failed,Mastery Exam,85,63,85,74,2/16/2022 12:49
28,Failed,Practice Exam,74,45,74,60,9/9/2019 11:57
29,Failed,Mastery Exam,85,52,85,61,10/20/2022 11:23
29,Failed,Practice Exam,85,44,85,51,10/18/2022 9:55
30,Passed,Mastery Exam,85,51,85,60,1/18/2021 23:08
30,Passed,Practice Exam,85,49,85,57,11/22/2020 9:11
31,Passed,Practice Exam,85,62,85,72,5/9/2022 21:17
31,Passed,Mastery Exam,85,67,85,78,5/11/2022 12:02
32,Passed,Mastery Exam,85,58,85,68,3/5/2021 1:36
32,Passed,Practice Exam,85,49,85,57,3/4/2021 2:34
33,Passed,Practice Exam,74,46,74,62,2/12/2019 22:37
34,Passed,Practice Exam,75,41,75,54,7/15/2020 22:35
35,Passed,Practice Exam,85,52,85,61,9/4/2023 12:57
35,Passed,Mastery Exam,85,63,85,74,9/15/2023 13:41
36,Passed,Mastery Exam,85,48,85,56,2/15/2021 2:19
36,Passed,Practice Exam,75,45,75,60,6/15/2020 10:57
37,Passed,Practice Exam,74,30,74,40,3/1/2019 12:18
38,Failed,Practice Exam,85,42,85,49,7/20/2022 13:19
38,Failed,Mastery Exam,85,62,85,72,7/21/2022 15:08
39,Passed,Practice Exam,85,50,85,58,7/19/2021 21:28
40,Passed,Practice Exam,74,34,74,45,10/29/2019 0:58
40,Passed,Mastery Exam,75,30,75,40,11/29/2019 12:26
41,Failed,Mastery Exam,85,61,85,71,4/18/2022 10:22
41,Failed,Practice Exam,85,53,85,62,4/13/2022 14:31
42,Passed,Practice Exam,74,44,74,59,9/9/2019 1:08
43,Passed,Practice Exam,85,51,85,60,7/23/2023 8:23
43,Passed,Mastery Exam,85,59,85,69,7/24/2023 19:22
44,Passed,Mastery Exam,85,67,85,78,4/6/2023 19:40
44,Passed,Practice Exam,85,62,85,72,4/3/2023 7:47
45,Passed,Mastery Exam,85,46,85,54,9/24/2020 23:52
45,Passed,Practice Exam,85,41,85,48,9/23/2020 16:32
46,Passed,Practice Exam,75,36,75,48,2/25/2020 12:27
47,Failed,Practice Exam,85,37,85,43,10/5/2022 11:51
47,Failed,Mastery Exam,85,55,85,64,10/7/2022 8:58
48,Failed,Mastery Exam,85,54,85,63,9/1/2023 12:53
48,Failed,Practice Exam,85,42,85,49,7/21/2023 14:36
49,Passed,Practice Exam,74,18,74,24,7/11/2019 16:51
49,Passed,Mastery Exam,75,23,75,30,7/11/2019 16:52
50,Passed,Practice Exam,85,75,85,88,8/15/2023 21:29
51,Failed,Practice Exam,85,56,85,65,10/18/2023 23:18
51,Failed,Mastery Exam,85,59,85,69,11/2/2023 9:07
52,Passed,Practice Exam,74,46,74,62,6/27/2019 11:08
