GPA,Core_Subject_Score,Academic_Consistency,Research_Participation,Programming_Skill,Domain_Knowledge,Tool_Proficiency,Certification_Count,Internship_Count,Internship_Duration,Industry_Relevance,Project_Experience,Communication_Skill,Teamwork_Ability,Leadership_Potential,Adaptability,Learning_Motivation,Career_Clarity,Market_Awareness,Higher_Study_Interest,Target_Industry_Code,Workshop_Participation,Online_Course_Hours,Networking_Activity,Learning_Path_Generation_Time,Employment_Competitiveness_Score
7.19,66.0,2.14,1.0,48.0,51.0,35.0,2.0,3.0,13.0,0.09,5.0,92.0,65.0,50.0,90.0,50.0,89.0,93.0,0.0,,6.0,243.4,23.0,8.98,30.55
9.78,61.0,1.42,0.0,70.0,85.0,75.0,5.0,0.0,7.3,0.45,4.0,92.0,,87.0,73.0,97.0,35.0,91.0,1.0,5.0,11.0,20.0,44.0,8.98,
8.79,83.0,1.22,0.0,54.0,52.0,79.0,5.0,3.0,3.9,1.0,5.0,66.0,79.0,89.0,81.0,77.0,36.0,88.0,1.0,3.0,5.0,96.5,55.0,6.21,66.03
8.19,65.0,1.49,0.0,43.0,81.0,67.0,5.0,1.0,6.4,0.84,0.0,70.0,65.0,79.0,58.0,67.0,75.0,,0.0,2.0,4.0,162.5,83.0,1.03,
6.2,87.0,2.16,0.0,79.0,95.0,47.0,3.0,2.0,5.1,0.89,0.0,66.0,48.0,60.0,88.0,73.0,86.0,86.0,0.0,3.0,3.0,220.0,63.0,7.17,47.25
6.2,60.0,1.17,0.0,48.0,54.0,56.0,1.0,2.0,3.2,0.82,3.0,81.0,93.0,,91.0,62.0,83.0,50.0,1.0,5.0,1.0,63.6,59.0,9.31,
5.76,69.0,0.85,0.0,84.0,87.0,70.0,0.0,3.0,13.4,0.1,,40.0,92.0,63.0,95.0,82.0,75.0,50.0,0.0,4.0,8.0,7.3,64.0,3.62,
9.4,86.0,1.92,1.0,48.0,59.0,46.0,,0.0,4.5,0.23,5.0,45.0,60.0,31.0,60.0,59.0,39.0,89.0,0.0,1.0,6.0,130.3,27.0,8.17,
8.21,65.0,2.15,0.0,65.0,82.0,91.0,2.0,2.0,8.2,0.0,5.0,50.0,75.0,96.0,73.0,56.0,33.0,95.0,1.0,6.0,6.0,117.8,54.0,4.57,43.92
8.69,77.0,,0.0,43.0,59.0,58.0,1.0,3.0,6.9,0.3,0.0,73.0,70.0,81.0,90.0,86.0,96.0,74.0,0.0,4.0,3.0,76.7,63.0,,
5.59,80.0,0.98,0.0,56.0,49.0,87.0,0.0,0.0,17.7,0.11,5.0,78.0,96.0,36.0,56.0,81.0,54.0,55.0,1.0,2.0,4.0,218.5,37.0,4.92,26.42
9.86,88.0,0.78,0.0,55.0,73.0,99.0,,3.0,7.0,0.47,1.0,59.0,79.0,48.0,57.0,94.0,90.0,42.0,1.0,4.0,5.0,187.3,66.0,3.99,
9.25,88.0,1.2,0.0,,63.0,51.0,2.0,0.0,1.4,0.68,7.0,92.0,50.0,44.0,56.0,71.0,67.0,44.0,0.0,3.0,11.0,214.5,44.0,10.34,
6.46,83.0,1.4,1.0,74.0,98.0,35.0,0.0,4.0,1.6,0.87,2.0,60.0,77.0,77.0,41.0,65.0,61.0,91.0,0.0,5.0,10.0,40.5,60.0,9.17,37.39
6.32,,2.0,0.0,,95.0,55.0,2.0,0.0,10.6,0.75,2.0,60.0,65.0,43.0,90.0,73.0,52.0,,1.0,4.0,11.0,173.1,24.0,4.47,
6.33,71.0,1.8,1.0,91.0,54.0,68.0,2.0,1.0,10.8,0.94,1.0,57.0,60.0,32.0,40.0,63.0,66.0,77.0,0.0,,1.0,243.8,83.0,5.5,23.22
6.87,89.0,1.74,0.0,44.0,56.0,41.0,0.0,4.0,7.5,0.05,5.0,60.0,91.0,79.0,82.0,60.0,32.0,97.0,0.0,5.0,3.0,153.0,81.0,8.45,31.77
7.86,67.0,1.2,0.0,94.0,98.0,43.0,4.0,3.0,7.8,0.01,,58.0,83.0,83.0,96.0,68.0,42.0,77.0,1.0,,3.0,42.8,91.0,,
7.44,93.0,2.18,0.0,44.0,48.0,51.0,2.0,4.0,1.0,0.66,5.0,43.0,78.0,35.0,49.0,72.0,63.0,85.0,0.0,1.0,11.0,248.9,22.0,8.37,26.15
6.81,69.0,1.44,1.0,59.0,75.0,80.0,0.0,4.0,9.3,0.29,6.0,52.0,86.0,78.0,76.0,83.0,94.0,90.0,0.0,4.0,3.0,132.1,56.0,6.72,54.6
8.25,83.0,2.46,0.0,54.0,62.0,52.0,4.0,3.0,9.1,0.25,3.0,57.0,59.0,52.0,87.0,89.0,37.0,77.0,0.0,6.0,6.0,210.0,60.0,11.48,42.17
6.13,83.0,1.77,0.0,57.0,60.0,77.0,2.0,3.0,2.7,0.33,4.0,91.0,50.0,49.0,95.0,62.0,38.0,58.0,0.0,2.0,6.0,37.3,39.0,9.4,25.49
6.81,65.0,0.75,0.0,86.0,84.0,79.0,4.0,1.0,1.9,0.27,1.0,68.0,46.0,89.0,44.0,,57.0,68.0,0.0,7.0,6.0,166.5,86.0,1.83,
7.15,86.0,1.85,0.0,41.0,80.0,42.0,3.0,3.0,2.2,0.51,1.0,64.0,68.0,74.0,95.0,93.0,47.0,93.0,0.0,3.0,,228.2,59.0,6.92,
7.55,56.0,1.15,0.0,68.0,69.0,39.0,5.0,2.0,1.8,0.44,6.0,,93.0,90.0,94.0,77.0,71.0,36.0,0.0,3.0,1.0,133.0,96.0,5.21,
9.03,68.0,1.87,0.0,52.0,67.0,84.0,3.0,2.0,11.0,0.51,1.0,52.0,72.0,,51.0,89.0,,36.0,,4.0,4.0,72.2,27.0,9.64,
6.4,74.0,0.64,0.0,43.0,56.0,38.0,4.0,1.0,3.5,0.67,7.0,66.0,45.0,31.0,75.0,65.0,99.0,44.0,1.0,6.0,9.0,31.9,24.0,1.01,19.06
7.81,76.0,0.85,0.0,81.0,78.0,81.0,2.0,0.0,4.5,0.39,7.0,99.0,45.0,74.0,70.0,99.0,62.0,57.0,1.0,7.0,1.0,74.0,44.0,5.22,56.07
8.17,65.0,2.21,0.0,84.0,80.0,31.0,0.0,0.0,3.1,0.25,1.0,58.0,72.0,69.0,94.0,77.0,83.0,49.0,0.0,5.0,4.0,88.7,58.0,4.16,26.49
5.71,81.0,0.95,1.0,49.0,81.0,54.0,1.0,2.0,17.2,,6.0,88.0,80.0,53.0,77.0,53.0,65.0,51.0,0.0,7.0,11.0,177.5,56.0,2.12,
8.23,57.0,2.17,1.0,70.0,47.0,42.0,0.0,3.0,15.4,0.35,1.0,40.0,64.0,,90.0,77.0,85.0,48.0,1.0,4.0,5.0,44.7,24.0,4.86,
6.27,71.0,1.06,1.0,80.0,53.0,80.0,1.0,1.0,4.1,0.74,5.0,,92.0,96.0,48.0,61.0,46.0,50.0,1.0,4.0,2.0,26.5,27.0,8.24,
5.79,82.0,1.79,0.0,47.0,97.0,87.0,1.0,,,0.76,6.0,58.0,52.0,97.0,83.0,65.0,39.0,66.0,1.0,5.0,5.0,96.7,23.0,4.66,
9.77,83.0,1.89,0.0,42.0,62.0,63.0,2.0,0.0,,0.67,3.0,,45.0,95.0,65.0,98.0,73.0,57.0,1.0,,4.0,114.7,60.0,7.17,
9.85,75.0,1.53,0.0,87.0,,64.0,4.0,4.0,8.9,0.23,0.0,40.0,70.0,83.0,54.0,85.0,31.0,68.0,0.0,5.0,3.0,157.1,79.0,7.32,
9.14,70.0,1.11,0.0,85.0,79.0,32.0,0.0,2.0,0.4,0.59,5.0,79.0,95.0,82.0,55.0,69.0,43.0,50.0,0.0,4.0,9.0,176.9,73.0,7.25,47.33
6.87,91.0,0.93,0.0,48.0,99.0,88.0,4.0,3.0,12.1,0.57,7.0,56.0,87.0,78.0,52.0,75.0,70.0,68.0,1.0,1.0,8.0,222.3,41.0,6.59,71.03
5.94,74.0,0.57,0.0,69.0,78.0,99.0,3.0,1.0,9.4,0.48,5.0,60.0,93.0,61.0,64.0,75.0,31.0,67.0,1.0,5.0,10.0,72.2,97.0,1.85,51.03
8.58,60.0,1.11,0.0,92.0,85.0,77.0,2.0,0.0,16.2,0.55,4.0,61.0,69.0,90.0,69.0,71.0,48.0,77.0,0.0,2.0,7.0,132.2,38.0,3.01,59.0
7.48,73.0,1.81,0.0,50.0,58.0,93.0,2.0,4.0,3.0,0.49,6.0,54.0,54.0,71.0,92.0,,30.0,98.0,0.0,5.0,11.0,91.5,96.0,9.7,
6.05,59.0,2.38,1.0,74.0,48.0,48.0,3.0,2.0,14.5,0.57,7.0,89.0,56.0,30.0,95.0,54.0,31.0,52.0,0.0,5.0,6.0,0.4,87.0,6.28,23.99
7.73,57.0,2.24,0.0,76.0,73.0,96.0,0.0,2.0,14.3,0.72,0.0,78.0,85.0,92.0,46.0,66.0,56.0,95.0,0.0,,10.0,144.9,52.0,8.62,45.78
