Date,Store_ID,City,Store_Type,Day_Type,Weather,Promotion,Temperature_C,Marketing_Spend_GBP,Staff_Count,Footfall,Transactions,Units_Sold,Avg_Order_Value_GBP,Revenue_GBP,Operating_Cost_GBP,Profit_GBP,Avg_Wait_Min,Customer_Rating
2025-01-01,BB01,London,High Street,Weekday,Sunny,No Promotion,6.7,13.26,6,246,102,150,8.44,875.69,792.13,83.57,2.62,4.2
2025-01-01,BB02,London,Shopping Centre,Weekday,Sunny,Combo Deal,6.7,56.42,9,356,179,288,8.37,1533.88,1192.8,341.08,2.61,4.24
2025-01-01,BB03,Manchester,High Street,Weekday,Sunny,Local Flyer,6.7,64.02,6,198,88,127,7.07,624.48,738.34,-113.86,2.89,4.33
2025-01-01,BB04,Manchester,Shopping Centre,Weekday,Sunny,Social Media,6.7,70.91,7,265,125,177,7.85,979.71,886.67,93.03,2.22,4.66
2025-01-01,BB05,Birmingham,High Street,Weekday,Sunny,Social Media,6.7,99.32,6,196,89,133,8.21,744.03,813.13,-69.1,2.52,4.24
2025-01-01,BB06,Birmingham,Shopping Centre,Weekday,Sunny,No Promotion,6.7,4.44,6,204,87,131,9.0,773.04,688.77,84.28,2.82,4.32
2025-01-01,BB07,Bristol,High Street,Weekday,Sunny,No Promotion,6.7,1.14,5,163,75,118,7.4,543.33,600.57,-57.24,2.66,4.51
2025-01-01,BB08,Bristol,Shopping Centre,Weekday,Sunny,No Promotion,6.7,17.17,6,215,103,154,7.66,769.22,695.39,73.82,3.18,4.42
2025-01-02,BB01,London,High Street,Weekday,Cloudy,No Promotion,6.1,5.83,6,240,104,157,8.1,839.35,737.31,102.04,2.89,4.3
2025-01-02,BB02,London,Shopping Centre,Weekday,Cloudy,No Promotion,6.1,8.56,7,241,97,138,8.67,859.23,832.63,26.59,2.61,4.19
2025-01-02,BB03,Manchester,High Street,Weekday,Cloudy,No Promotion,6.1,4.04,6,196,82,115,7.94,626.58,656.47,-29.89,2.71,4.27
2025-01-02,BB04,Manchester,Shopping Centre,Weekday,Cloudy,No Promotion,6.1,16.84,6,218,92,138,7.33,685.6,699.43,-13.83,2.26,4.45
2025-01-02,BB05,Birmingham,High Street,Weekday,Cloudy,No Promotion,6.1,6.11,6,165,70,106,7.34,503.0,642.23,-139.23,2.15,4.88
2025-01-02,BB06,Birmingham,Shopping Centre,Weekday,Cloudy,Combo Deal,6.1,63.19,6,217,96,158,6.17,636.15,728.45,-92.3,3.34,4.13
2025-01-02,BB07,Bristol,High Street,Weekday,Cloudy,Local Flyer,6.1,38.51,5,168,81,114,7.34,587.16,629.73,-42.57,2.61,4.38
2025-01-02,BB08,Bristol,Shopping Centre,Weekday,Cloudy,Local Flyer,6.1,67.14,6,199,93,131,7.41,672.31,736.72,-64.41,2.95,3.98
2025-01-03,BB01,London,High Street,Weekday,Sunny,No Promotion,8.3,12.09,7,284,128,220,7.91,1025.54,911.59,113.95,2.88,4.59
2025-01-03,BB02,London,Shopping Centre,Weekday,Sunny,No Promotion,8.3,2.84,7,241,110,176,8.59,935.47,851.01,84.46,2.92,4.26
2025-01-03,BB03,Manchester,High Street,Weekday,Sunny,No Promotion,8.3,4.9,6,216,86,110,7.27,630.75,700.56,-69.81,2.43,4.41
2025-01-03,BB04,Manchester,Shopping Centre,Weekday,Sunny,Social Media,8.3,96.89,7,255,116,183,7.37,815.26,882.13,-66.87,2.67,4.29
2025-01-03,BB05,Birmingham,High Street,Weekday,Sunny,Combo Deal,8.3,65.45,7,240,109,181,5.64,589.75,789.13,-199.37,3.17,4.54
2025-01-03,BB06,Birmingham,Shopping Centre,Weekday,Sunny,Combo Deal,8.3,58.15,7,204,96,166,6.5,619.52,767.53,-148.01,3.12,4.47
2025-01-03,BB07,Bristol,High Street,Weekday,Sunny,Combo Deal,8.3,60.79,6,203,94,146,7.79,749.38,784.74,-35.35,2.56,4.29
2025-01-03,BB08,Bristol,Shopping Centre,Weekday,Sunny,Local Flyer,8.3,82.94,7,212,96,128,8.22,777.61,829.09,-51.48,2.3,4.37
2025-01-04,BB01,London,High Street,Weekend,Rainy,No Promotion,6.5,16.66,7,201,89,134,8.13,740.42,806.82,-66.4,2.13,4.38
2025-01-04,BB02,London,Shopping Centre,Weekend,Rainy,No Promotion,6.5,7.24,8,306,134,186,8.78,1202.18,996.8,205.39,2.84,4.14
2025-01-04,BB03,Manchester,High Street,Weekend,Rainy,Social Media,6.5,75.95,6,219,97,144,7.22,696.92,736.3,-39.38,3.31,4.22
2025-01-04,BB04,Manchester,Shopping Centre,Weekend,Rainy,No Promotion,6.5,3.58,6,233,95,143,8.41,831.22,734.92,96.3,2.78,4.3
2025-01-04,BB05,Birmingham,High Street,Weekend,Rainy,Combo Deal,6.5,44.13,7,210,98,162,7.25,690.68,767.82,-77.14,2.19,4.62
2025-01-04,BB06,Birmingham,Shopping Centre,Weekend,Rainy,Local Flyer,6.5,57.76,7,238,109,149,7.52,822.47,806.36,16.11,3.21,4.25
2025-01-04,BB07,Bristol,High Street,Weekend,Rainy,Social Media,6.5,50.42,6,161,81,121,7.75,595.5,694.96,-99.46,2.73,4.18
2025-01-04,BB08,Bristol,Shopping Centre,Weekend,Rainy,No Promotion,6.5,7.56,7,219,88,128,7.88,723.18,761.99,-38.81,1.9,4.26
2025-01-05,BB01,London,High Street,Weekend,Sunny,No Promotion,4.4,7.85,6,254,105,148,8.37,874.92,807.47,67.45,2.57,4.44
2025-01-05,BB02,London,Shopping Centre,Weekend,Sunny,No Promotion,4.4,8.31,7,349,146,198,9.47,1391.03,929.73,461.3,3.2,4.25
2025-01-05,BB03,Manchester,High Street,Weekend,Sunny,No Promotion,4.4,11.7,6,200,86,129,7.63,679.41,683.41,-4.0,2.46,4.32
2025-01-05,BB04,Manchester,Shopping Centre,Weekend,Sunny,No Promotion,4.4,10.93,5,245,105,159,8.24,840.61,724.53,116.08,2.75,4.43
2025-01-05,BB05,Birmingham,High Street,Weekend,Sunny,Social Media,4.4,99.07,7,241,128,188,7.16,896.79,914.28,-17.49,2.66,4.32
2025-01-05,BB06,Birmingham,Shopping Centre,Weekend,Sunny,No Promotion,4.4,17.29,6,232,91,138,7.79,718.5,703.59,14.91,2.38,4.38
2025-01-05,BB07,Bristol,High Street,Weekend,Sunny,Combo Deal,4.4,64.67,6,209,87,141,7.47,658.05,715.47,-57.42,2.81,4.58
2025-01-05,BB08,Bristol,Shopping Centre,Weekend,Sunny,Social Media,4.4,45.71,7,320,136,198,7.89,1057.91,904.3,153.61,3.08,4.2
2025-01-06,BB01,London,High Street,Weekday,Cloudy,Social Media,11.2,82.16,7,238,114,172,8.38,965.64,922.7,42.94,3.08,4.26
2025-01-06,BB02,London,Shopping Centre,Weekday,Cloudy,No Promotion,11.2,8.72,6,253,110,165,8.59,947.84,804.0,143.83,2.9,4.45
2025-01-06,BB03,Manchester,High Street,Weekday,Cloudy,Social Media,11.2,105.79,5,195,82,120,8.47,710.78,754.88,-44.1,2.9,4.24
2025-01-06,BB04,Manchester,Shopping Centre,Weekday,Cloudy,Social Media,11.2,55.44,6,247,110,148,8.11,876.6,816.36,60.24,2.91,4.04
2025-01-06,BB05,Birmingham,High Street,Weekday,Cloudy,Local Flyer,11.2,70.7,6,204,91,142,7.07,654.29,744.26,-89.97,2.73,4.15
2025-01-06,BB06,Birmingham,Shopping Centre,Weekday,Cloudy,No Promotion,11.2,4.17,5,185,69,93,6.91,433.31,516.7,-83.39,2.8,4.13
2025-01-06,BB07,Bristol,High Street,Weekday,Cloudy,Combo Deal,11.2,38.84,5,185,85,146,6.66,516.07,616.79,-100.72,2.86,4.38
2025-01-06,BB08,Bristol,Shopping Centre,Weekday,Cloudy,No Promotion,11.2,5.8,7,199,93,126,7.76,706.67,744.89,-38.21,2.72,4.13
2025-01-07,BB01,London,High Street,Weekday,Cloudy,Social Media,9.0,51.39,7,248,98,136,8.78,847.54,848.23,-0.7,2.79,4.15
2025-01-07,BB02,London,Shopping Centre,Weekday,Cloudy,No Promotion,9.0,17.46,7,261,101,142,8.7,855.22,838.47,16.74,2.29,4.23
2025-01-07,BB03,Manchester,High Street,Weekday,Cloudy,Local Flyer,9.0,83.52,6,230,97,146,7.68,735.51,775.16,-39.65,3.5,4.18
2025-01-07,BB04,Manchester,Shopping Centre,Weekday,Cloudy,Combo Deal,9.0,47.9,7,252,111,181,8.0,850.5,843.88,6.63,2.12,4.45
2025-01-07,BB05,Birmingham,High Street,Weekday,Cloudy,Combo Deal,9.0,47.85,6,200,91,125,5.7,506.16,642.29,-136.13,2.44,4.38
2025-01-07,BB06,Birmingham,Shopping Centre,Weekday,Cloudy,No Promotion,9.0,5.79,5,193,89,140,7.67,671.15,652.45,18.7,2.56,4.47
2025-01-07,BB07,Bristol,High Street,Weekday,Cloudy,No Promotion,9.0,0.67,5,132,55,75,7.26,395.59,488.55,-92.96,2.31,4.32
2025-01-07,BB08,Bristol,Shopping Centre,Weekday,Cloudy,No Promotion,9.0,12.47,5,197,83,116,8.59,715.3,628.13,87.17,2.95,4.29
2025-01-08,BB01,London,High Street,Weekday,Rainy,Combo Deal,3.9,53.52,6,202,97,157,7.68,727.12,772.91,-45.79,2.92,4.17
2025-01-08,BB02,London,Shopping Centre,Weekday,Rainy,Combo Deal,3.9,64.19,8,258,136,231,8.19,1131.4,1003.81,127.59,2.89,4.5
2025-01-08,BB03,Manchester,High Street,Weekday,Rainy,No Promotion,3.9,7.95,6,158,72,101,6.81,507.28,605.15,-97.88,2.9,3.92
2025-01-08,BB04,Manchester,Shopping Centre,Weekday,Rainy,No Promotion,3.9,17.6,5,174,75,111,6.8,511.1,584.22,-73.12,3.27,4.13
2025-01-08,BB05,Birmingham,High Street,Weekday,Rainy,Social Media,3.9,92.44,5,184,84,116,6.99,608.97,704.27,-95.3,2.6,4.43
2025-01-08,BB06,Birmingham,Shopping Centre,Weekday,Rainy,Combo Deal,3.9,49.27,6,161,74,117,7.35,521.28,677.76,-156.49,2.02,4.44
2025-01-08,BB07,Bristol,High Street,Weekday,Rainy,Local Flyer,3.9,69.83,6,193,89,123,7.36,651.75,714.64,-62.89,2.62,4.24
2025-01-08,BB08,Bristol,Shopping Centre,Weekday,Rainy,Social Media,3.9,110.82,7,211,91,126,8.21,754.99,878.97,-123.99,1.94,4.4
2025-01-09,BB01,London,High Street,Weekday,Cloudy,No Promotion,11.7,1.75,6,272,103,157,7.76,799.05,731.73,67.32,2.75,4.34
2025-01-09,BB02,London,Shopping Centre,Weekday,Cloudy,Local Flyer,11.7,82.28,7,273,122,172,8.03,1000.78,971.39,29.39,2.72,4.36
2025-01-09,BB03,Manchester,High Street,Weekday,Cloudy,No Promotion,11.7,11.93,6,219,90,137,7.61,719.17,717.72,1.44,2.77,4.39
2025-01-09,BB04,Manchester,Shopping Centre,Weekday,Cloudy,No Promotion,11.7,16.21,6,203,90,135,8.36,756.59,718.77,37.82,2.77,4.21
2025-01-09,BB05,Birmingham,High Street,Weekday,Cloudy,No Promotion,11.7,13.35,6,192,77,117,7.25,564.35,629.19,-64.83,2.68,4.07
2025-01-09,BB06,Birmingham,Shopping Centre,Weekday,Cloudy,Local Flyer,11.7,67.74,6,210,82,121,7.55,612.57,704.48,-91.9,2.54,4.53
2025-01-09,BB07,Bristol,High Street,Weekday,Cloudy,Local Flyer,11.7,35.45,5,177,69,95,6.72,460.77,581.63,-120.86,2.4,4.39
2025-01-09,BB08,Bristol,Shopping Centre,Weekday,Cloudy,No Promotion,11.7,1.71,6,204,100,159,8.28,836.2,710.58,125.62,2.79,4.07
2025-01-10,BB01,London,High Street,Weekday,Cloudy,No Promotion,6.9,2.2,7,256,105,150,7.57,817.8,812.46,5.35,3.17,4.25
2025-01-10,BB02,London,Shopping Centre,Weekday,Cloudy,Combo Deal,6.9,50.83,8,338,134,205,8.14,1086.63,1002.28,84.36,2.58,4.38
2025-01-10,BB03,Manchester,High Street,Weekday,Cloudy,Social Media,6.9,68.79,6,197,89,137,8.18,735.11,783.58,-48.47,3.02,4.2
2025-01-10,BB04,Manchester,Shopping Centre,Weekday,Cloudy,Social Media,6.9,84.73,6,253,118,164,7.75,893.31,829.91,63.4,3.15,4.25
2025-01-10,BB05,Birmingham,High Street,Weekday,Cloudy,No Promotion,6.9,5.1,6,199,85,123,6.81,593.53,652.57,-59.05,2.84,4.29
2025-01-10,BB06,Birmingham,Shopping Centre,Weekday,Cloudy,Combo Deal,6.9,56.67,7,252,109,185,7.2,785.86,803.79,-17.93,2.45,4.26
2025-01-10,BB07,Bristol,High Street,Weekday,Cloudy,Social Media,6.9,53.06,6,196,85,110,8.33,730.58,745.75,-15.17,3.08,4.13
2025-01-10,BB08,Bristol,Shopping Centre,Weekday,Cloudy,No Promotion,6.9,6.11,6,204,93,131,7.81,686.41,695.98,-9.58,2.53,4.4
