Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Type,Outlet_Size,Outlet_Location_Type,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales
FDA15,Low Fat,Dairy,OUT049,Supermarket Type1,Medium,Tier 1,9.3,0.016047301,249.8092,1999,3735.138
DRC01,Regular,Soft Drinks,OUT018,Supermarket Type2,Medium,Tier 3,5.92,0.019278216,48.2692,2009,443.4228
FDN15,Low Fat,Meat,OUT049,Supermarket Type1,Medium,Tier 1,17.5,0.016760075,141.618,1999,2097.27
NCD19,Low Fat,Household,OUT013,Supermarket Type1,High,Tier 3,8.93,0,53.8614,1987,994.7052
FDP36,Regular,Baking Goods,OUT018,Supermarket Type2,Medium,Tier 3,10.395,0,51.4008,2009,556.6088
FDO10,Regular,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,13.65,0.012741089,57.6588,1987,343.5528
FDP10,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.127469857,107.7622,1985,4022.7636
FDY07,Low Fat,Fruits and Vegetables,OUT049,Supermarket Type1,Medium,Tier 1,11.8,0,45.5402,1999,1516.0266
FDA03,Regular,Dairy,OUT046,Supermarket Type1,Small,Tier 1,18.5,0.045463773,144.1102,1997,2187.153
FDX32,Regular,Fruits and Vegetables,OUT049,Supermarket Type1,Medium,Tier 1,15.1,0.1000135,145.4786,1999,1589.2646
FDS46,Regular,Snack Foods,OUT046,Supermarket Type1,Small,Tier 1,17.6,0.047257328,119.6782,1997,2145.2076
FDF32,Low Fat,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,16.35,0.0680243,196.4426,1987,1977.426
FDP49,Regular,Breakfast,OUT046,Supermarket Type1,Small,Tier 1,9,0.069088961,56.3614,1997,1547.3192
NCB42,Low Fat,Health and Hygiene,OUT018,Supermarket Type2,Medium,Tier 3,11.8,0.008596051,115.3492,2009,1621.8888
FDP49,Regular,Breakfast,OUT049,Supermarket Type1,Medium,Tier 1,9,0.069196376,54.3614,1999,718.3982
DRI11,Low Fat,Hard Drinks,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.034237682,113.2834,1985,2303.668
FDU02,Low Fat,Dairy,OUT035,Supermarket Type1,Small,Tier 2,13.35,0.10249212,230.5352,2004,2748.4224
FDN22,Regular,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,18.85,0.138190277,250.8724,1987,3775.086
FDW12,Regular,Baking Goods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.035399923,144.5444,1985,4064.0432
NCB30,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,14.6,0.025698134,196.5084,2004,1587.2672
FDC37,Low Fat,Baking Goods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.057556998,107.6938,1985,214.3876
FDR28,Regular,Frozen Foods,OUT046,Supermarket Type1,Small,Tier 1,13.85,0.025896485,165.021,1997,4078.025
FDV10,Regular,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,7.645,0.066693437,42.3112,2004,1065.28
DRJ59,low fat,Hard Drinks,OUT013,Supermarket Type1,High,Tier 3,11.65,0.019356132,39.1164,1987,308.9312
FDC14,Regular,Canned,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.072221801,43.6454,1985,125.8362
NCS17,Low Fat,Health and Hygiene,OUT018,Supermarket Type2,Medium,Tier 3,18.6,0.080829372,96.4436,2009,2741.7644
FDP33,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,18.7,0,256.6672,2009,3068.0064
DRH01,Low Fat,Soft Drinks,OUT046,Supermarket Type1,Small,Tier 1,17.5,0.097904029,174.8738,1997,2085.2856
NCX29,Low Fat,Health and Hygiene,OUT049,Supermarket Type1,Medium,Tier 1,10,0.089291137,146.7102,1999,3791.0652
FDV20,Regular,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.059511812,128.0678,1985,2797.6916
DRZ11,Regular,Soft Drinks,OUT018,Supermarket Type2,Medium,Tier 3,8.85,0.113123893,122.5388,2009,1609.9044
FDX10,Regular,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.123111453,36.9874,1985,388.1614
FDB34,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.026480954,87.6198,1985,2180.495
FDU02,Low Fat,Dairy,OUT046,Supermarket Type1,Small,Tier 1,13.35,0.102511504,230.6352,1997,3435.528
FDK43,Low Fat,Meat,OUT013,Supermarket Type1,High,Tier 3,9.8,0.02681843,126.002,1987,2150.534
FDA46,Low Fat,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,13.6,0.117818348,192.9136,1999,2527.3768
FDC02,Low Fat,Canned,OUT018,Supermarket Type2,Medium,Tier 3,21.35,0.069102831,259.9278,2009,6768.5228
FDL50,Regular,Canned,OUT013,Supermarket Type1,High,Tier 3,12.15,0.042277867,126.5046,1987,373.5138
FDL12,Regular,Baking Goods,OUT046,Supermarket Type1,Small,Tier 1,15.85,0.121632721,60.622,1997,2576.646
FDS02,Regular,Dairy,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.255394896,196.8794,1985,780.3176
NCL17,Low Fat,Health and Hygiene,OUT046,Supermarket Type1,Small,Tier 1,7.39,0.067779712,143.8812,1997,3134.5864
FDM40,Low Fat,Frozen Foods,OUT013,Supermarket Type1,High,Tier 3,10.195,0.159803853,141.5154,1987,850.8924
FDR13,Regular,Canned,OUT013,Supermarket Type1,High,Tier 3,9.895,0.028696932,117.0492,1987,810.9444
FDK21,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,7.905,0.010053105,249.0408,2009,6258.52
DRK35,Low Fat,Hard Drinks,OUT049,Supermarket Type1,Medium,Tier 1,8.365,0.071958197,38.0506,1999,796.9626
FDY21,Low Fat,Snack Foods,OUT046,Supermarket Type1,Small,Tier 1,15.1,0.173481304,194.511,1997,4910.275
FDI26,Low Fat,Canned,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.061082177,180.0344,1985,892.172
FDM20,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,10,0,246.9144,2009,3185.1872
FDF09,Low Fat,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.012090074,38.2848,1985,484.7024
FDY40,Regular,Frozen Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.15028599,51.0692,1985,147.8076
FDY45,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.026015519,255.8356,1985,2543.356
FDH19,Low Fat,Meat,OUT035,Supermarket Type1,Small,Tier 2,19.35,0.033082215,172.5738,2004,4865.6664
NCI17,Low Fat,Health and Hygiene,OUT046,Supermarket Type1,Small,Tier 1,8.645,0.143422643,95.841,1997,2027.361
FDJ58,Regular,Snack Foods,OUT046,Supermarket Type1,Small,Tier 1,15.6,0.105296072,170.1764,1997,3435.528
FDL12,Regular,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,15.85,0.121531501,59.222,1987,599.22
NCZ18,low fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,7.825,0.186357148,254.3698,1999,5580.7356
FDC29,Regular,Frozen Foods,OUT046,Supermarket Type1,Small,Tier 1,8.39,0.024205661,114.0176,1997,2290.352
FDQ10,Low Fat,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,12.85,0.033230816,172.3422,1999,1207.0954
FDN48,Low Fat,Baking Goods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.113720344,89.9804,1985,643.1628
FDD58,Low Fat,Snack Foods,OUT046,Supermarket Type1,Small,Tier 1,7.76,0.059352241,101.87,1997,1697.79
FDN04,reg,Frozen Foods,OUT046,Supermarket Type1,Small,Tier 1,11.8,0.014087057,180.3344,1997,1427.4752
FDV45,low fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,16.75,0.045230944,187.9556,2009,4693.89
NCL18,Low Fat,Household,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.293417759,194.6136,1985,583.2408
FDR12,Regular,Baking Goods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.031382044,171.3764,1985,3091.9752
FDZ55,Low Fat,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,6.055,0.025403898,160.992,2004,2716.464
FDQ49,Regular,Breakfast,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.039057677,155.963,1985,3285.723
FDN33,Regular,Snack Foods,OUT046,Supermarket Type1,Small,Tier 1,6.305,0.123115764,95.6436,1997,661.8052
FDN27,Low Fat,Meat,OUT049,Supermarket Type1,Medium,Tier 1,20.85,0.039624006,117.2808,1999,1523.3504
DRG27,Low Fat,Dairy,OUT049,Supermarket Type1,Medium,Tier 1,8.895,0.105274111,39.9138,1999,690.4346
FDA44,Low Fat,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,19.7,0.053212652,57.893,2004,622.523
NCR17,Low Fat,Health and Hygiene,OUT035,Supermarket Type1,Small,Tier 2,9.8,0.024378706,114.5492,2004,1274.3412
FDU04,Low Fat,Frozen Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.009714595,120.0414,1985,487.3656
FDF41,Low Fat,Frozen Foods,OUT049,Supermarket Type1,Medium,Tier 1,12.15,0.131383762,246.046,1999,1231.73
FDB56,Regular,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,8.75,0.07461309,187.4556,2004,3755.112
NCP18,Low Fat,Household,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.028459761,149.9708,1985,4363.6532
FDB56,Regular,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,8.75,0.074627201,187.8556,1997,1314.2892
FDD10,Regular,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.045797829,178.5344,1985,2854.9504
FDW57,Regular,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,8.31,0.115857223,179.1028,1999,3896.2616
DRB48,Regular,Soft Drinks,OUT013,Supermarket Type1,High,Tier 3,16.75,0.024832806,38.7822,1987,667.7974
FDP09,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,19.75,0.034027909,212.0902,2009,3185.853
FDH14,Regular,Canned,OUT013,Supermarket Type1,High,Tier 3,17.1,0.0467696,141.1838,1987,2247.7408
FDA47,Regular,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,10.5,0.116576702,163.121,1987,1794.331
DRE60,low fat,Soft Drinks,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.278974075,225.372,1985,679.116
DRK49,Low Fat,Soft Drinks,OUT013,Supermarket Type1,High,Tier 3,14.15,0.035913805,41.4138,1987,812.276
FDD03,Low Fat,Dairy,OUT046,Supermarket Type1,Small,Tier 1,13.3,0.079806266,232.53,1997,699.09
FDW39,Regular,Meat,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.064625342,176.937,1985,176.437
