"","id","grade_test1","grade_test2"
"1","student1",42.9,44.6
"2","student2",51.8,54
"3","student3",71.7,72.3
"4","student4",51.6,53.4
"5","student5",63.5,63.8
"6","student6",58,59.3
"7","student7",59.8,60.8
"8","student8",50.8,51.6
"9","student9",62.5,64.3
"10","student10",61.9,63.2
"11","student11",50.4,51.8
"12","student12",52.6,52.2
"13","student13",63,63
"14","student14",58.3,60.5
"15","student15",53.3,57.1
"16","student16",58.7,60.1
"17","student17",50.1,51.7
"18","student18",64.2,65.6
"19","student19",57.4,58.3
"20","student20",57.1,60.1
