name,gender,age,class,embarked,country,ticketno,fare,survived
"Abbing, Mr. Anthony",male,42.0,3rd,S,United States,5547.0,7.11,0
"Abbott, Mr. Eugene Joseph",male,13.0,3rd,S,United States,2673.0,20.05,0
"Abbott, Mr. Rossmore Edward",male,16.0,3rd,S,United States,2673.0,20.05,0
"Abbott, Mrs. Rhoda Mary 'Rosa'",female,39.0,3rd,S,England,2673.0,20.05,1
"Abelseth, Miss. Karen Marie",female,16.0,3rd,S,Norway,348125.0,7.13,1
"Abelseth, Mr. Olaus Jørgensen",male,25.0,3rd,S,United States,348122.0,7.13,1
"Abelson, Mr. Samuel",male,30.0,2nd,C,France,3381.0,24.0,0
"Abelson, Mrs. Hannah",female,28.0,2nd,C,France,3381.0,24.0,1
"Abī-Al-Munà, Mr. Nāsīf Qāsim",male,27.0,3rd,C,Lebanon,2699.0,18.1509,1
"Abrahamsson, Mr. Abraham August Johannes",male,20.0,3rd,S,Finland,3101284.0,7.1806,1
"Ådahl, Mr. Mauritz",male,30.0,3rd,S,Sweden,7076.0,7.05,0
"Adams, Mr. John",male,27.0,3rd,S,England,341826.0,8.01,0
"Ahlin, Mrs. Johanna Persdotter",female,40.0,3rd,S,Sweden,7546.0,9.0906,0
"Aks, Master. Frank Philip",male,0.8333333333,3rd,S,England,392091.0,9.07,1
"Aks, Mrs. Leah",female,18.0,3rd,S,England,392091.0,9.07,1
"Aldworth, Mr. Augustus Henry",male,35.0,2nd,S,England,248744.0,13.0,0
"Alexander, Mr. William Albert",male,25.0,3rd,S,England,3474.0,7.1709,0
"Alhomäki, Mr. Ilmari Rudolf",male,19.0,3rd,S,Finland,3101287.0,7.1806,0
"Ali, Mr. Ahmed",male,24.0,3rd,S,Argentina,3101311.0,7.01,0
"Ali, Mr. William",male,25.0,3rd,S,Argentina,3101312.0,7.01,0
"Allen, Miss. Elisabeth Walton",female,29.0,1st,S,United States,24160.0,211.6009,1
"Allen, Mr. William Henry",male,39.0,3rd,S,England,373450.0,8.01,0
"Allison, Master. Hudson Trevor",male,0.9166666667,1st,S,Canada,113781.0,151.16,1
"Allison, Miss. Helen Loraine",female,2.0,1st,S,Canada,113781.0,151.16,0
"Allison, Mr. Hudson Joshua Creighton",male,30.0,1st,S,Canada,113781.0,151.16,0
"Allison, Mrs. Bessie Waldo",female,25.0,1st,S,United States,113781.0,151.16,0
"Allum, Mr. Owen George",male,18.0,3rd,S,England,2223.0,8.06,0
"Al-Munà, Mr. Farīd Husayn Qāsim",male,19.0,3rd,C,Lebanon,2700.0,7.0407,0
"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,3rd,S,Denmark,350046.0,7.1701,1
"Andersen, Mr. Albert Karvin",male,33.0,3rd,S,Norway,4001.0,22.1006,0
"Anderson, Mr. Harry",male,47.0,1st,S,United States,19952.0,26.11,1
"Andersson, Master. Sigvard Harald Elias",male,4.0,3rd,S,Sweden,347082.0,31.0506,0
"Andersson, Miss. Ebba Iris Alfrida",female,6.0,3rd,S,Sweden,347082.0,31.0506,0
"Andersson, Miss. Ellis Anna Maria",female,2.0,3rd,S,Sweden,347082.0,31.0506,0
"Andersson, Miss. Erna Alexandra",female,16.0,3rd,S,Finland,3101281.0,7.1806,1
"Andersson, Miss. Ida Augusta Margareta",female,38.0,3rd,S,Sweden,347091.0,7.1506,0
"Andersson, Miss. Ingeborg Constanzia",female,9.0,3rd,S,Sweden,347082.0,31.0506,0
"Andersson, Miss. Sigrid Elisabeth",female,11.0,3rd,S,Sweden,347082.0,31.0506,0
"Andersson, Mr. Anders Johan",male,39.0,3rd,S,Sweden,347082.0,31.0506,0
"Andersson, Mr. Johan Samuel",male,26.0,3rd,S,Sweden,347075.0,7.1506,0
"Andersson, Mrs. Alfrida Konstantia Brogren",female,39.0,3rd,S,Sweden,347082.0,31.0506,0
"Andreasson, Mr. Pål Edvin",male,20.0,3rd,S,Sweden,347466.0,7.1701,0
"Andrew, Mr. Edgar Samuel",male,17.0,2nd,S,Argentina,231945.0,11.1,0
"Andrew, Mr. Frank Thomas",male,27.0,2nd,S,England,34050.0,10.1,0
"Andrews, Miss. Kornelia Theodosia",female,62.0,1st,C,United States,13502.0,77.1902,1
"Andrews, Mr. Thomas",male,39.0,1st,B,Northern Ireland,112050.0,,0
"Angheloff, Mr. Minko",male,26.0,3rd,S,Bulgaria,349202.0,7.1711,0
"Angle, Mrs. Florence Agnes",female,36.0,2nd,S,England,226875.0,26.0,1
"Angle, Mr. William",male,31.0,2nd,S,England,226875.0,26.0,0
"Appleton, Mrs. Charlotte",female,53.0,1st,S,United States,11769.0,51.0907,1
