MovieID,Title,Genre
M01,Sky Raiders,Action / Sci-Fi
M02,Orbit Nine,Sci-Fi / Adventure
M03,Neon Chase,Action / Thriller
M04,Laugh Track,Comedy
M05,Family Weekend,Comedy / Family
M06,Moonlight Letters,Romance / Drama
M07,Hidden Garden,Drama / Romance
M08,Code Red,Thriller / Tech
M09,Deep Blue,Documentary / Nature
M10,Kingdom Rising,Fantasy / Adventure
M11,Wild Trails,Adventure / Nature
M12,The Last Recipe,Food / Drama
M13,Pixel Hearts,Romance / Comedy
M14,Robot School,Family / Sci-Fi
M15,Velocity,Action / Sports
