UserID,MovieID,Rating
U01,M02,5.0
U01,M03,5.0
U01,M08,5.0
U01,M07,2.5
U01,M12,2.5
U01,M04,2.0
U01,M06,2.5
U01,M11,3.5
U02,M08,3.0
U02,M05,4.5
U02,M03,3.0
U02,M12,3.0
U02,M07,3.0
U02,M10,4.5
U02,M09,3.0
U02,M14,5.0
U03,M14,3.5
U03,M03,3.0
U03,M01,2.5
U03,M07,5.0
U03,M05,3.5
U03,M06,5.0
U03,M04,2.5
U03,M10,4.0
U04,M14,4.5
U04,M03,5.0
U04,M15,5.0
U04,M01,5.0
U04,M04,2.5
U04,M02,5.0
U04,M12,2.0
U04,M13,2.5
U05,M15,2.5
U05,M03,2.0
U05,M04,4.5
U05,M07,3.5
U05,M12,4.0
U05,M05,4.5
U05,M02,3.0
U05,M11,3.5
U06,M11,4.5
U06,M14,3.0
U06,M06,5.0
U06,M08,3.0
U06,M05,4.5
U06,M02,2.5
U06,M12,5.0
U06,M01,2.0
U07,M13,2.0
U07,M04,2.5
U07,M02,5.0
U07,M06,2.5
U07,M14,5.0
U07,M09,2.0
U07,M08,4.5
U07,M11,3.0
U08,M03,2.0
U08,M04,4.5
U08,M13,4.0
U08,M15,2.5
U08,M14,4.5
U08,M08,2.5
U08,M09,3.0
U08,M11,3.5
U09,M05,4.0
U09,M03,2.5
U09,M02,2.5
U09,M01,2.0
U09,M15,1.5
U09,M09,5.0
U09,M10,3.5
U09,M12,4.5
U10,M02,5.0
U10,M11,3.5
U10,M14,4.5
U10,M10,5.0
U10,M03,5.0
U10,M13,2.5
U10,M09,2.0
U10,M15,4.5
U11,M02,3.5
U11,M03,3.0
U11,M11,3.5
U11,M01,3.0
U11,M13,4.5
U11,M14,5.0
U11,M12,3.5
U11,M10,4.5
U12,M10,3.0
U12,M13,4.5
U12,M03,2.5
U12,M04,2.5
U12,M12,5.0
U12,M09,5.0
U12,M02,2.5
U12,M07,5.0
