State,Population_M,Literacy_Rate,Sex_Ratio,Pop_Density,Urban_Pct,Growth_Rate
Uttar Pradesh,199.8,67.7,912,829,22.3,20.2
Maharashtra,112.4,82.3,929,365,45.2,16.0
Bihar,104.1,61.8,918,1106,11.3,25.4
West Bengal,91.3,76.3,950,1028,31.9,13.8
Andhra Pradesh,84.6,67.0,993,308,33.5,11.0
Madhya Pradesh,72.6,69.3,931,236,27.6,20.4
Tamil Nadu,72.1,80.1,996,555,48.4,15.6
Rajasthan,68.5,66.1,928,200,24.9,21.3
Karnataka,61.1,75.4,973,319,38.6,15.6
Gujarat,60.4,78.0,919,308,42.6,19.3
Odisha,42.0,72.9,979,270,16.7,14.1
Kerala,33.4,94.0,1084,860,47.7,4.9
Jharkhand,33.0,66.4,948,414,24.1,22.4
Assam,31.2,72.2,958,398,14.1,17.1
Punjab,27.7,75.8,895,551,37.5,13.9
Haryana,25.4,75.6,877,573,34.8,19.9
Chhattisgarh,25.5,70.3,991,189,23.2,22.6
Delhi,16.8,86.2,868,11320,97.5,21.2
Jammu & Kashmir,12.5,67.2,889,56,27.2,23.6
Uttarakhand,10.1,78.8,963,189,30.6,19.2
Himachal Pradesh,6.9,82.8,974,123,10.0,12.9
Tripura,3.7,87.2,960,350,26.2,14.1
Meghalaya,3.0,74.4,989,132,20.1,27.8
Manipur,2.9,79.2,987,128,30.2,18.7
Nagaland,2.0,79.6,931,119,29.0,-0.6
Goa,1.5,87.4,973,394,62.2,8.2
Sikkim,0.6,81.4,890,86,25.1,12.4
Mizoram,1.1,91.3,975,52,52.1,22.8
Arunachal Pradesh,1.4,65.4,938,17,22.7,25.9
