country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,KMeans_Clusters
Afghanistan,90.2,10.0,7.58,44.9,1610,9.44,56.2,5.82,553,0
Albania,16.6,28.0,6.55,48.6,9930,4.49,76.3,1.65,4090,1
Algeria,27.3,38.4,4.17,31.4,12900,16.1,76.5,2.89,4460,1
Angola,119.0,62.3,2.85,42.9,5900,22.4,60.1,6.16,3530,0
Antigua and Barbuda,10.3,45.5,6.03,58.9,19100,1.44,76.8,2.13,12200,1
Argentina,14.5,18.9,8.1,16.0,18700,20.9,75.8,2.37,10300,1
Armenia,18.1,20.8,4.4,45.3,6700,7.77,73.3,1.69,3220,1
Australia,4.8,19.8,8.73,20.9,41400,1.16,82.0,1.93,51900,2
Austria,4.3,51.3,11.0,47.8,43200,0.873,80.5,1.44,46900,2
Azerbaijan,39.2,54.3,5.88,20.7,16000,13.8,69.1,1.92,5840,1
Bahamas,13.8,35.0,7.89,43.7,22900,-0.39299999999999996,73.8,1.86,28000,1
Bahrain,8.6,69.5,4.97,50.9,41100,7.44,76.0,2.16,20700,2
Bangladesh,49.4,16.0,3.52,21.8,2440,7.14,70.4,2.33,758,1
Barbados,14.2,39.5,7.97,48.7,15300,0.321,76.7,1.78,16000,1
Belarus,5.5,51.4,5.61,64.5,16200,15.1,70.4,1.49,6030,1
Belgium,4.5,76.4,10.7,74.7,41100,1.88,80.0,1.86,44400,2
Belize,18.8,58.2,5.2,57.5,7880,1.14,71.4,2.71,4340,1
Benin,111.0,23.8,4.1,37.2,1820,0.885,61.8,5.36,758,0
Bhutan,42.7,42.5,5.2,70.7,6420,5.99,72.1,2.38,2180,1
Bolivia,46.6,41.2,4.84,34.3,5410,8.78,71.6,3.2,1980,1
Bosnia and Herzegovina,6.9,29.7,11.1,51.3,9720,1.4,76.8,1.31,4610,1
Botswana,52.5,43.6,8.3,51.3,13300,8.92,57.1,2.88,6350,0
Brazil,19.8,10.7,9.01,11.8,14500,8.41,74.2,1.8,11200,1
Brunei,10.5,67.4,2.84,28.0,80600,16.7,77.1,1.84,35300,2
Bulgaria,10.8,50.2,6.87,53.0,15300,1.11,73.9,1.57,6840,1
Burkina Faso,116.0,19.2,6.74,29.6,1430,6.81,57.9,5.87,575,0
Burundi,93.6,8.92,11.6,39.2,764,12.3,57.7,6.26,231,0
Cambodia,44.4,54.1,5.68,59.5,2520,3.12,66.1,2.88,786,1
Cameroon,108.0,22.2,5.13,27.0,2660,1.91,57.3,5.11,1310,0
Canada,5.6,29.1,11.3,31.0,40700,2.87,81.3,1.63,47400,2
Cape Verde,26.5,32.7,4.09,61.8,5830,0.505,72.5,2.67,3310,1
Central African Republic,149.0,11.8,3.98,26.5,888,2.01,47.5,5.21,446,0
Chad,150.0,36.8,4.53,43.5,1930,6.39,56.5,6.59,897,0
Chile,8.7,37.7,7.96,31.3,19400,8.96,79.1,1.88,12900,1
China,15.7,26.3,5.07,22.6,9530,6.94,74.6,1.59,4560,1
Colombia,18.6,15.9,7.59,17.8,10900,3.86,76.4,2.01,6250,1
Comoros,88.2,16.5,4.51,51.7,1410,3.87,65.9,4.75,769,0
"Congo, Dem. Rep.",116.0,41.1,7.91,49.6,609,20.8,57.5,6.54,334,0
"Congo, Rep.",63.9,85.1,2.46,54.7,5190,20.7,60.4,4.95,2740,0
Costa Rica,10.2,33.2,10.9,35.0,13000,6.57,80.4,1.92,8200,1
Cote d'Ivoire,111.0,50.6,5.3,43.3,2690,5.39,56.3,5.27,1220,0
Croatia,5.5,37.6,7.76,38.1,20100,0.821,76.3,1.55,13500,1
Cyprus,3.6,50.2,5.97,57.5,33900,2.01,79.9,1.42,30800,2
Czech Republic,3.4,66.0,7.88,62.9,28300,-1.43,77.5,1.51,19800,2
Denmark,4.1,50.5,11.4,43.6,44000,3.22,79.5,1.87,58000,2
Dominican Republic,34.4,22.7,6.22,33.3,11100,5.44,74.6,2.6,5450,1
Ecuador,25.1,27.9,8.06,32.4,9350,7.47,76.7,2.66,4660,1
Egypt,29.1,21.3,4.66,26.6,9860,10.1,70.5,3.19,2600,1
El Salvador,19.2,26.9,6.91,46.6,7300,2.65,74.1,2.27,2990,1
Equatorial Guinea,111.0,85.8,4.48,58.9,33700,24.9,60.9,5.21,17100,0
Eritrea,55.2,4.79,2.66,23.3,1420,11.6,61.7,4.61,482,0
