CustomerID,Gaming,Fitness,Home_Office,Kitchen,Luxury,Outdoor,DIY,Pet_Care,Books,Tech_Gadgets,Total_Spent,Frequency,Recency
5000,0,8,0,1,0,6,0,1,0,0,587,9,8
5001,9,1,0,1,1,1,1,1,1,3,1959,21,9
5002,0,11,1,1,1,6,1,0,1,1,1375,11,8
5003,0,0,4,8,0,0,9,1,1,0,1576,7,11
5004,0,1,0,1,0,1,0,0,7,0,149,4,33
5005,1,7,1,1,1,5,0,1,1,1,1457,8,18
5006,0,1,1,0,1,0,1,1,8,1,437,3,82
5007,0,1,3,5,0,0,4,0,0,0,1447,10,20
5008,11,0,0,0,0,0,1,0,1,3,3363,21,2
5009,7,0,1,1,0,0,1,1,1,3,4160,24,3
5010,1,0,0,1,0,0,0,0,5,1,479,1,80
5011,8,0,1,0,1,1,1,0,0,7,2683,16,3
5012,8,1,0,1,0,0,1,1,1,8,3481,20,7
5013,0,1,0,0,16,0,1,0,1,4,12526,2,22
5014,1,0,3,5,1,1,7,0,0,1,2320,6,21
5015,1,7,0,0,0,7,0,0,0,1,1065,11,9
5016,0,9,1,1,0,6,1,1,1,1,683,5,19
5017,0,1,1,1,16,0,0,1,1,5,9282,2,30
5018,11,1,0,1,0,1,0,0,0,6,1988,10,8
5019,1,11,0,0,1,5,0,1,0,0,1110,11,16
5020,9,0,1,1,0,1,0,1,1,7,2683,18,9
5021,1,8,0,1,1,4,1,0,1,1,1467,8,10
5022,1,0,1,1,0,0,0,0,9,1,437,2,83
5023,0,0,3,11,1,0,6,0,1,1,1439,3,25
5024,10,1,0,1,1,1,1,1,0,5,3574,11,5
5025,1,0,3,7,0,1,4,1,0,1,1995,7,15
5026,0,6,1,0,0,7,0,0,0,1,690,9,11
5027,0,11,1,0,1,5,1,1,0,1,787,10,11
5028,11,1,1,1,0,1,0,0,0,7,3205,12,2
5029,0,1,1,0,19,1,0,1,0,4,11614,3,42
5030,1,0,4,10,0,0,5,0,1,0,2165,3,29
5031,9,1,0,1,0,0,1,0,1,9,2719,15,4
5032,0,0,5,7,1,0,4,1,1,1,2427,9,35
5033,5,1,0,0,0,1,0,0,1,9,4349,25,9
5034,0,0,1,0,0,1,0,0,6,0,175,2,45
5035,8,0,0,1,1,0,0,0,1,7,2727,25,5
5036,0,1,4,6,0,1,7,1,0,1,1561,5,35
5037,1,0,6,8,1,1,6,0,1,0,2487,4,12
5038,0,0,0,0,0,1,0,0,5,1,142,4,58
5039,12,1,1,0,0,1,0,0,0,7,4517,11,3
5040,1,10,0,1,0,8,0,1,1,0,1260,8,14
