InvoiceNo,InvoiceDate,CustomerID,Description,Category,Quantity,UnitPrice,Profile_Source_For_Mentor,TotalAmount
500047,2025-01-01,10006,Notebook,Stationery,3,60.84,Champions,182.52
500047,2025-01-01,10006,Pen Pack,Stationery,2,40.82,Champions,81.64
500047,2025-01-01,10006,Highlighter,Stationery,1,72.56,Champions,72.56
500327,2025-01-01,10049,Lunch Box,Lifestyle,2,339.64,Loyal,679.28
500327,2025-01-01,10049,Water Bottle,Lifestyle,1,237.85,Loyal,237.85
500327,2025-01-01,10049,Screen Guard,Tech,1,205.97,Loyal,205.97
500526,2025-01-01,10078,Coffee Powder,Grocery,1,181.01,Loyal,181.01
500526,2025-01-01,10078,Sugar,Grocery,1,54.4,Loyal,54.4
500526,2025-01-01,10078,Milk,Grocery,1,35.13,Loyal,35.13
500526,2025-01-01,10078,Baby Diapers,Baby Care,2,629.45,Loyal,1258.9
501725,2025-01-01,10257,Yoga Mat,Fitness,1,640.22,At Risk,640.22
501725,2025-01-01,10257,Protein Bar,Fitness,1,83.77,At Risk,83.77
501725,2025-01-01,10257,Water Bottle,Lifestyle,1,252.57,At Risk,252.57
501725,2025-01-01,10257,USB Cable,Tech,1,185.15,At Risk,185.15
502312,2025-01-01,10342,Lunch Box,Lifestyle,3,399.53,Champions,1198.59
502312,2025-01-01,10342,Water Bottle,Lifestyle,1,264.03,Champions,264.03
500243,2025-01-02,10037,Bread,Grocery,2,43.21,Champions,86.42
500243,2025-01-02,10037,Butter,Grocery,2,100.93,Champions,201.86
500243,2025-01-02,10037,Jam,Grocery,1,103.28,Champions,103.28
501298,2025-01-02,10193,Baby Diapers,Baby Care,1,492.92,At Risk,492.92
501298,2025-01-02,10193,Baby Wipes,Baby Care,4,182.11,At Risk,728.44
501298,2025-01-02,10193,Baby Lotion,Baby Care,1,246.58,At Risk,246.58
501298,2025-01-02,10193,Baby Diapers,Baby Care,1,548.01,At Risk,548.01
500128,2025-01-03,10020,Novel,Books,1,242.36,At Risk,242.36
500128,2025-01-03,10020,Exam Guide,Books,1,449.22,At Risk,449.22
500128,2025-01-03,10020,Lunch Box,Lifestyle,1,370.44,At Risk,370.44
500692,2025-01-03,10101,Novel,Books,1,244.38,At Risk,244.38
500692,2025-01-03,10101,Exam Guide,Books,3,449.26,At Risk,1347.78
500847,2025-01-03,10128,Novel,Books,1,220.27,Champions,220.27
500847,2025-01-03,10128,Exam Guide,Books,2,402.78,Champions,805.56
501054,2025-01-03,10158,Lunch Box,Lifestyle,3,346.51,Loyal,1039.53
501054,2025-01-03,10158,Water Bottle,Lifestyle,1,267.85,Loyal,267.85
501969,2025-01-03,10295,Novel,Books,1,261.0,New,261.0
501969,2025-01-03,10295,Exam Guide,Books,1,400.67,New,400.67
501969,2025-01-03,10295,Pet Shampoo,Pet Care,4,282.59,New,1130.36
502074,2025-01-03,10312,Lunch Box,Lifestyle,1,338.81,Champions,338.81
502074,2025-01-03,10312,Water Bottle,Lifestyle,1,265.2,Champions,265.2
502074,2025-01-03,10312,Screen Guard,Tech,3,214.48,Champions,643.44
500147,2025-01-04,10022,Novel,Books,1,240.01,Loyal,240.01
500147,2025-01-04,10022,Exam Guide,Books,1,435.53,Loyal,435.53
500147,2025-01-04,10022,Sugar,Grocery,1,55.57,Loyal,55.57
500271,2025-01-04,10040,Phone Case,Tech,1,291.21,Champions,291.21
500271,2025-01-04,10040,Screen Guard,Tech,1,218.83,Champions,218.83
500271,2025-01-04,10040,USB Cable,Tech,1,188.8,Champions,188.8
500271,2025-01-04,10040,Novel,Books,1,236.09,Champions,236.09
501104,2025-01-04,10164,Lunch Box,Lifestyle,1,353.86,Champions,353.86
501104,2025-01-04,10164,Water Bottle,Lifestyle,1,259.43,Champions,259.43
501185,2025-01-04,10175,Baby Diapers,Baby Care,2,547.77,Champions,1095.54
501185,2025-01-04,10175,Baby Wipes,Baby Care,2,188.98,Champions,377.96
501185,2025-01-04,10175,Baby Lotion,Baby Care,1,253.73,Champions,253.73
501199,2025-01-04,10176,Novel,Books,1,245.59,At Risk,245.59
501199,2025-01-04,10176,Exam Guide,Books,1,400.03,At Risk,400.03
502229,2025-01-04,10332,Novel,Books,3,254.01,Champions,762.03
502229,2025-01-04,10332,Exam Guide,Books,1,471.4,Champions,471.4
