InvoiceNo,Description
500047,Notebook
500047,Pen Pack
500047,Highlighter
500327,Lunch Box
500327,Water Bottle
500327,Screen Guard
500526,Coffee Powder
500526,Sugar
500526,Milk
500526,Baby Diapers
501725,Yoga Mat
501725,Protein Bar
501725,Water Bottle
501725,USB Cable
502312,Lunch Box
502312,Water Bottle
500243,Bread
500243,Butter
500243,Jam
501298,Baby Diapers
501298,Baby Wipes
501298,Baby Lotion
500128,Novel
500128,Exam Guide
500128,Lunch Box
500692,Novel
500692,Exam Guide
500847,Novel
500847,Exam Guide
501054,Lunch Box
501054,Water Bottle
501969,Novel
501969,Exam Guide
501969,Pet Shampoo
502074,Lunch Box
502074,Water Bottle
502074,Screen Guard
500147,Novel
500147,Exam Guide
500147,Sugar
500271,Phone Case
500271,Screen Guard
500271,USB Cable
500271,Novel
501104,Lunch Box
501104,Water Bottle
501185,Baby Diapers
501185,Baby Wipes
501185,Baby Lotion
501199,Novel
501199,Exam Guide
502229,Novel
502229,Exam Guide
502324,Baby Diapers
502324,Baby Wipes
502324,Baby Lotion
502347,Novel
502347,Exam Guide
502347,Butter
500165,Phone Case
500165,Screen Guard
500165,USB Cable
500165,Dumbbell Pair
500842,Dog Food
500842,Pet Shampoo
501565,Yoga Mat
501565,Protein Bar
501565,Water Bottle
501705,Dog Food
501705,Pet Shampoo
501705,Yoga Mat
501847,Novel
501847,Exam Guide
501947,Phone Case
501947,Screen Guard
501947,USB Cable
501947,Baby Wipes
502331,Lunch Box
502331,Water Bottle
500492,Lunch Box
500492,Water Bottle
501148,Novel
501148,Exam Guide
502024,Notebook
502024,Pen Pack
502024,Highlighter
502024,Baby Lotion
502230,Tea Pack
502230,Sugar
502230,Milk
500341,Baby Diapers
500341,Baby Wipes
500341,Baby Lotion
500601,Phone Case
500601,Screen Guard
500601,USB Cable
500848,Lunch Box
500848,Water Bottle
501255,Notebook
501255,Pen Pack
501255,Highlighter
501295,Lunch Box
501295,Water Bottle
501578,Lunch Box
501578,Water Bottle
502175,Baby Diapers
502175,Baby Wipes
502175,Baby Lotion
502175,Dog Food
500653,Novel
500653,Exam Guide
501065,Coffee Powder
