CustomerID,Gaming,Fitness,Home_Office,Kitchen,Luxury,Outdoor,DIY,Pet_Care,Books,Tech_Gadgets,Total_Spent,Frequency,Recency,Cluster,Persona
5000,0,8,0,1,0,6,0,1,0,0,587,9,8,3,Wellness Enthusiast
5001,9,1,0,1,1,1,1,1,1,3,1959,21,9,4,Elite Gamer
5002,0,11,1,1,1,6,1,0,1,1,1375,11,8,3,Wellness Enthusiast
5003,0,0,4,8,0,0,9,1,1,0,1576,7,11,0,Home Decorator
5004,0,1,0,1,0,1,0,0,7,0,149,4,33,2,Casual Reader
5005,1,7,1,1,1,5,0,1,1,1,1457,8,18,3,Wellness Enthusiast
5006,0,1,1,0,1,0,1,1,8,1,437,3,82,2,Casual Reader
5007,0,1,3,5,0,0,4,0,0,0,1447,10,20,0,Home Decorator
5008,11,0,0,0,0,0,1,0,1,3,3363,21,2,4,Elite Gamer
5009,7,0,1,1,0,0,1,1,1,3,4160,24,3,4,Elite Gamer
5010,1,0,0,1,0,0,0,0,5,1,479,1,80,2,Casual Reader
5011,8,0,1,0,1,1,1,0,0,7,2683,16,3,4,Elite Gamer
5012,8,1,0,1,0,0,1,1,1,8,3481,20,7,4,Elite Gamer
5013,0,1,0,0,16,0,1,0,1,4,12526,2,22,1,Luxury Shopper
5014,1,0,3,5,1,1,7,0,0,1,2320,6,21,0,Home Decorator
5015,1,7,0,0,0,7,0,0,0,1,1065,11,9,3,Wellness Enthusiast
5016,0,9,1,1,0,6,1,1,1,1,683,5,19,3,Wellness Enthusiast
5017,0,1,1,1,16,0,0,1,1,5,9282,2,30,1,Luxury Shopper
5018,11,1,0,1,0,1,0,0,0,6,1988,10,8,4,Elite Gamer
5019,1,11,0,0,1,5,0,1,0,0,1110,11,16,3,Wellness Enthusiast
5020,9,0,1,1,0,1,0,1,1,7,2683,18,9,4,Elite Gamer
5021,1,8,0,1,1,4,1,0,1,1,1467,8,10,3,Wellness Enthusiast
5022,1,0,1,1,0,0,0,0,9,1,437,2,83,2,Casual Reader
5023,0,0,3,11,1,0,6,0,1,1,1439,3,25,0,Home Decorator
5024,10,1,0,1,1,1,1,1,0,5,3574,11,5,4,Elite Gamer
5025,1,0,3,7,0,1,4,1,0,1,1995,7,15,0,Home Decorator
5026,0,6,1,0,0,7,0,0,0,1,690,9,11,3,Wellness Enthusiast
5027,0,11,1,0,1,5,1,1,0,1,787,10,11,3,Wellness Enthusiast
5028,11,1,1,1,0,1,0,0,0,7,3205,12,2,4,Elite Gamer
5029,0,1,1,0,19,1,0,1,0,4,11614,3,42,1,Luxury Shopper
5030,1,0,4,10,0,0,5,0,1,0,2165,3,29,0,Home Decorator
5031,9,1,0,1,0,0,1,0,1,9,2719,15,4,4,Elite Gamer
5032,0,0,5,7,1,0,4,1,1,1,2427,9,35,0,Home Decorator
5033,5,1,0,0,0,1,0,0,1,9,4349,25,9,4,Elite Gamer
