Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
1,6.9,3.8,8.7,2.8,1.8,2.99,Moderate
2,5.3,3.5,8,4.2,3,2.75,Low
3,5.1,3.9,9.2,1.2,4.6,2.67,Low
4,6.5,2.1,7.2,1.7,6.5,2.88,Moderate
5,8.1,0.6,6.5,2.2,6.6,3.51,High
6,6,2.1,8,0.3,7.6,2.85,Moderate
7,8,0.7,5.3,5.7,4.3,3.08,High
8,8.4,1.8,5.6,3,5.2,3.2,High
9,5.2,3.6,6.3,4,4.9,2.82,Low
10,7.7,0.7,9.8,4.5,1.3,2.76,Moderate
11,9.7,3.6,8,2.5,0.2,3.43,High
12,6.9,1.1,9.1,2.1,4.8,2.97,Moderate
13,6.4,2.2,5.7,4.8,4.9,2.82,High
14,5,3.3,8.5,4.4,2.8,2.87,Low
15,8.9,0.3,6.8,0.7,7.3,3.4,High
16,6.7,0.3,6.6,2,8.4,3.2,Moderate
17,8.6,2.6,9.4,1.6,1.8,3.36,High
18,8.8,2.2,8.9,2,2.1,3.19,High
19,7.6,1.7,5.1,0.6,9,3.16,High
20,6.6,2,9.5,1.5,4.4,2.93,Moderate
21,7.1,3,6.1,0.5,7.3,2.9,Moderate
22,9.6,3.2,8.2,2.6,0.4,3.34,High
23,9,0.7,9.5,2.6,2.2,3.21,High
24,6.1,1.7,9.1,5.2,1.9,2.85,Moderate
25,5,2,7.1,1.3,8.6,2.68,Low
26,9.7,1.3,7.6,3.8,1.6,3.29,High
27,6.8,3.9,9.8,0.9,2.6,2.64,Moderate
28,6.4,0.1,8,3,6.5,2.95,Moderate
29,5.3,1.1,9.5,1.4,6.7,2.79,Low
30,9.9,1,8.4,3.6,1.1,3.25,High
31,6.2,2.9,6.8,3.8,4.3,3.05,Moderate
32,5.5,3.3,6.6,1.1,7.5,3.26,Low
33,5.2,2.4,8.4,0.1,7.9,2.47,Low
34,8.2,0.7,8.5,2.3,4.3,3.24,High
35,9.7,0.6,6.7,0.7,6.3,3.62,High
36,9.1,2.2,7.6,1.2,3.9,3.12,High
37,5.5,3.6,9.5,3.4,2,2.58,Low
38,8.6,3.6,9.4,1.9,0.5,3.03,High
39,8.2,0.3,5.8,5.4,4.3,3.29,High
40,5,0.6,7.7,4.2,6.5,2.61,Low
41,8.3,0.9,8.6,1.4,4.8,3.48,High
42,8.2,3.4,8.3,2.3,1.8,3.07,High
43,5.5,1.5,6.3,1.5,9.2,2.81,Low
44,9.5,2.5,9,1.5,1.5,3.49,High
45,7.9,2,6,4.3,3.8,2.97,Moderate
46,9.7,3.8,9.6,0.3,0.6,3.55,High
47,5.1,3.7,7.1,5.8,2.3,2.6,Low
48,9.3,1.3,5.8,3.3,4.3,3.09,High
49,9.7,2.8,7.9,0.3,3.3,3.47,High
50,9.4,3,8.5,2.2,0.9,3.18,High
51,6.8,1.2,9,4.9,2.1,3.12,Moderate
52,9,2.6,8.5,3.1,0.8,4,High
53,9.5,1.4,6.9,0.6,5.6,3.33,High
54,7.3,2.2,6.4,3.5,4.6,3.11,Moderate
55,5.2,0.1,9.1,2.2,7.4,2.79,Low
56,8.8,0.9,8.1,0.5,5.7,3.1,High
57,5.3,2.1,7.7,3.8,5.1,2.39,Low
58,9,1.1,7.2,0.5,6.2,3.39,High
59,5.1,3.9,9.2,4,1.8,2.52,Low
60,5.8,1,7.7,4.3,5.2,2.8,Low
61,8.3,1.1,9.8,3.5,1.3,3.67,High
62,7.1,1,6.8,4.5,4.6,3.27,Moderate
63,5.1,0.5,5.2,0.2,13,2.85,High
64,7.4,0.4,7.5,2.8,5.9,3.26,Moderate
65,5.9,1.7,7,3.7,5.7,2.8,Low
66,6.9,2.5,7.5,5.1,2,3.06,Moderate
67,8.3,0.7,5.4,3.9,5.7,3.26,High
68,9.7,2.3,6.9,3.3,1.8,3.38,High
69,7.3,2.2,9.7,1.9,2.9,3.15,Moderate
70,5.4,1.3,9.2,0.1,8,2.69,Low
71,9.1,1.1,5.6,4.2,4,3.54,High
72,8.7,3.2,6.4,1,4.7,3.37,High
73,8.8,3.2,10,0.8,1.2,3.58,High
74,6.7,3.7,9.3,1.8,2.5,2.89,Moderate
75,8.8,3,5.5,5.4,1.3,3.58,High
76,6.6,3.6,6.9,0.1,6.8,2.99,Moderate
77,9.5,0.4,6.6,5.7,1.8,3.44,High
78,8.2,1.8,6.5,2,5.5,3.35,High
79,8.4,3,9,2.8,0.8,3.26,High
80,5.3,2.2,7.2,5.3,4,2.62,Low
81,6.8,0.5,5.7,4.6,6.4,2.86,High
82,5.4,2.8,5.4,4.9,5.5,2.86,High
83,8.5,0.3,5.4,5.9,3.9,2.99,High
84,9.1,3.8,9.9,0.9,0.3,3.08,High
85,6.9,0.3,8.9,3.4,4.5,3.21,Moderate
86,5.6,2,5.1,2.8,8.5,2.81,High
87,5.3,0.5,5.6,3.9,8.7,2.9,High
88,9.8,1.5,6.4,5.2,1.1,3.78,High
89,6.1,3.9,5.1,5.8,3.1,2.96,High
90,5.4,2.2,9.8,3.1,3.5,2.81,Low
91,8.1,2.8,7.3,3.6,2.2,3.39,High
92,5.2,1.1,9.8,5.3,2.6,2.82,Low
93,7.3,2.5,6.4,1.1,6.7,2.67,Moderate
94,7.9,0.3,9.9,5.8,0.1,3.08,Moderate
95,8.5,2.1,6.5,4.9,2,3.1,High
96,9.6,3.3,9.7,1,0.4,3.54,High
97,8.1,1.7,9.7,3.9,0.6,3.45,High
98,9.9,0.6,8,2.1,3.4,3.39,High
99,9.8,3.4,9.2,0.7,0.9,3.15,High
100,5.3,3.5,9.1,6,0.1,2.68,Low
101,10,2.2,8.8,2.8,0.2,3.41,High
102,7.3,0.5,9.8,3.6,2.8,3.22,Moderate
103,6.1,2.7,8.1,2.1,5,2.98,Moderate
104,7.6,3.1,7.6,4.9,0.8,2.99,Moderate
105,7.8,2.2,9.4,1.9,2.7,3.3,Moderate
106,8.5,0.9,5.7,0.1,8.8,3.55,High
107,6.8,2.4,7,2.6,5.2,2.97,Moderate
108,7.6,3.1,7,3.7,2.6,3.28,Moderate
109,9.3,3.8,5.7,4.8,0.4,3.05,High
110,7.3,3.9,7.5,1.7,3.6,3.08,Moderate
111,8.2,1,5.4,0.8,8.6,3.3,High
112,5.9,1.4,9.5,2.8,4.4,2.7,Low
113,8.3,0.7,6,0.2,8.8,3.14,High
114,5.9,0.4,5.6,2.8,9.3,2.73,High
115,6,1.5,7.5,4.1,4.9,2.76,Moderate
116,9.4,3.7,5.3,1.6,4,3.45,High
117,9,3,5.9,1.3,4.8,3.29,High
118,8.1,1.5,7.3,4.5,2.6,2.75,High
119,5.2,1,8.6,5.4,3.8,3.4,Low
120,5.5,1.8,7.7,1.5,7.5,3.05,Low
121,6.3,1.5,5.1,1.9,9.2,2.82,High
122,5.6,3.6,8,4.1,2.7,2.62,Low
123,8.9,2,5.4,3.2,4.5,3.64,High
124,7.2,0.5,6.4,2.2,7.7,3.19,Moderate
125,8.2,2.3,6.8,5.9,0.8,2.95,High
126,5.5,0.6,6.2,1,10.7,2.94,Low
127,5.9,1.1,5.9,5.4,5.7,2.89,High
128,7.1,3.9,5.6,2.4,5,2.9,High
129,9.8,3.5,9.1,0.4,1.2,3.57,High
130,9.6,2.2,7.9,1.2,3.1,3.24,High
131,8.8,0.7,6.6,2.6,5.3,2.99,High
132,5.6,2.4,6.4,3.5,6.1,2.85,Low
