CustomerID,Age,Income,City,Plan,Tenure,MonthlySpend,SupportCalls,Contract,Churn
C0001,24.0,82342.0,Chennai,Standard,22.0,974.0,1.0,Two-Year,No
C0002,55.0,66592.0,Trichy,Standard,72.0,1197.0,2.0,Monthly,Yes
C0003,50.0,22396.0,Coimbatore,Premium,48.0,1932.0,0.0,Monthly,No
C0004,40.0,94136.0,Salem,,49.0,2144.0,1.0,Two-Year,No
C0005,39.0,54270.0,Trichy,Premium,13.0,1899.0,3.0,Two-Year,No
C0006,59.0,56119.0,Chennai,Basic,52.0,592.0,1.0,Two-Year,No
C0007,23.0,42186.0,Madurai,Standard,41.0,1043.0,4.0,Monthly,No
C0008,52.0,52989.0,Trichy,Basic,71.0,599.0,1.0,Monthly,No
C0009,29.0,81125.0,Madurai,Premium,35.0,1829.0,3.0,Annual,No
C0010,24.0,65080.0,Coimbatore,Standard,49.0,856.0,2.0,Monthly,Yes
C0011,44.0,78545.0,Coimbatore,Standard,25.0,,0.0,Two-Year,No
C0012,64.0,79410.0,Chennai,Basic,3.0,676.0,1.0,Annual,Yes
C0013,53.0,104337.0,Madurai,Basic,10.0,459.0,1.0,Monthly,Yes
C0014,55.0,61088.0,Trichy,Standard,63.0,1051.0,2.0,Monthly,No
C0015,53.0,31602.0,Trichy,Basic,54.0,461.0,3.0,Monthly,No
C0016,56.0,97748.0,Chennai,,27.0,408.0,3.0,,No
C0017,43.0,61381.0,Salem,Premium,51.0,2108.0,4.0,Annual,No
C0018,25.0,98979.0,Coimbatore,Premium,1.0,1635.0,4.0,Monthly,Yes
C0019,58.0,79968.0,Trichy,Basic,3.0,661.0,2.0,Monthly,Yes
C0020,40.0,66590.0,Chennai,Basic,37.0,520.0,4.0,Monthly,No
C0021,43.0,79068.0,Trichy,Premium,45.0,1347.0,3.0,,No
C0022,37.0,120726.0,Salem,Standard,68.0,1002.0,3.0,Two-Year,No
C0023,28.0,124001.0,Chennai,Standard,55.0,946.0,6.0,Annual,No
C0024,62.0,71804.0,Chennai,Basic,19.0,451.0,1.0,Monthly,Yes
C0025,55.0,74165.0,Salem,Basic,59.0,636.0,2.0,Annual,No
C0026,49.0,97982.0,Chennai,Basic,36.0,564.0,3.0,Monthly,Yes
C0027,38.0,48013.0,Madurai,Standard,60.0,1246.0,4.0,Monthly,No
C0028,57.0,78660.0,Trichy,Basic,13.0,530.0,0.0,,Yes
C0029,45.0,69328.0,Madurai,Basic,2.0,,4.0,Monthly,Yes
C0030,40.0,78162.0,Coimbatore,,5.0,1147.0,1.0,Monthly,No
C0031,40.0,48332.0,Coimbatore,Premium,72.0,1707.0,2.0,Two-Year,No
C0032,30.0,28671.0,Chennai,Premium,6.0,2322.0,3.0,Two-Year,No
C0033,24.0,18000.0,Trichy,Standard,68.0,1487.0,2.0,Monthly,Yes
C0034,45.0,40948.0,Coimbatore,Standard,53.0,903.0,1.0,Annual,No
C0035,60.0,58074.0,Chennai,Standard,11.0,1104.0,3.0,Monthly,No
C0036,22.0,62377.0,Chennai,Basic,63.0,644.0,2.0,,No
C0037,59.0,120368.0,Trichy,Standard,11.0,1371.0,3.0,Monthly,No
C0038,58.0,98756.0,Chennai,Standard,11.0,1210.0,3.0,Annual,No
C0039,32.0,44986.0,Trichy,Standard,42.0,928.0,1.0,Monthly,No
C0040,49.0,79040.0,Salem,Premium,21.0,2083.0,2.0,Two-Year,No
C0041,27.0,59416.0,Salem,Premium,21.0,1847.0,1.0,Two-Year,No
C0042,54.0,62607.0,Trichy,Basic,15.0,572.0,3.0,Monthly,Yes
C0043,52.0,74818.0,Salem,Standard,44.0,1186.0,1.0,Annual,No
C0044,36.0,86098.0,Trichy,Basic,2.0,389.0,1.0,Monthly,Yes
C0045,23.0,61179.0,Chennai,Standard,18.0,1089.0,3.0,Annual,Yes
C0046,64.0,97660.0,Salem,Basic,40.0,797.0,3.0,Monthly,No
C0047,40.0,,Madurai,Basic,36.0,559.0,0.0,Monthly,Yes
C0048,,70165.0,Madurai,Premium,51.0,1949.0,3.0,Annual,Yes
C0049,51.0,137540.0,Trichy,Standard,16.0,1061.0,2.0,Monthly,Yes
C0050,55.0,75800.0,Trichy,Premium,47.0,2148.0,1.0,Annual,No
C0051,54.0,107264.0,Salem,Basic,55.0,427.0,2.0,Annual,No
C0052,28.0,72380.0,Coimbatore,Basic,28.0,574.0,1.0,Monthly,Yes
C0053,36.0,85100.0,Coimbatore,Standard,19.0,1127.0,1.0,Monthly,Yes
C0054,41.0,68524.0,Coimbatore,Basic,40.0,484.0,4.0,Annual,No
C0055,,65569.0,Coimbatore,Basic,42.0,544.0,5.0,Annual,Yes
C0056,22.0,49733.0,Coimbatore,Premium,7.0,1480.0,3.0,Monthly,Yes
C0057,45.0,81188.0,Chennai,Basic,41.0,766.0,5.0,Monthly,No
C0058,27.0,47860.0,Chennai,Basic,12.0,604.0,2.0,Annual,No
C0059,54.0,87305.0,Salem,Standard,41.0,1108.0,3.0,Annual,Yes
C0060,51.0,98217.0,Coimbatore,Standard,68.0,803.0,4.0,Two-Year,No
C0061,62.0,,Trichy,Standard,39.0,964.0,1.0,Monthly,No
C0062,54.0,62558.0,Madurai,,55.0,663.0,0.0,Annual,No
C0063,36.0,81803.0,Chennai,Premium,23.0,1392.0,1.0,Annual,No
C0064,64.0,61975.0,Chennai,Basic,67.0,718.0,1.0,Monthly,No
C0065,38.0,94324.0,,Standard,59.0,782.0,2.0,Monthly,No
C0066,,22383.0,Trichy,Standard,67.0,1245.0,2.0,Monthly,No
C0067,61.0,61274.0,Chennai,Premium,54.0,1506.0,0.0,Two-Year,Yes
C0068,37.0,18239.0,Coimbatore,Standard,47.0,1193.0,2.0,Monthly,No
C0069,23.0,31128.0,Trichy,Standard,38.0,,1.0,Annual,No
C0070,,105460.0,Trichy,Basic,67.0,647.0,1.0,Annual,No
C0071,56.0,93275.0,Chennai,Basic,62.0,352.0,2.0,Monthly,Yes
C0072,28.0,51294.0,Chennai,Basic,31.0,726.0,2.0,Two-Year,No
C0073,,30935.0,Chennai,Standard,7.0,885.0,1.0,Annual,No
C0074,25.0,,Chennai,Basic,1.0,,3.0,Monthly,No
C0075,51.0,55869.0,Chennai,Standard,17.0,1003.0,2.0,Annual,No
C0076,41.0,132931.0,Madurai,Basic,5.0,,3.0,Annual,Yes
C0077,35.0,81307.0,Trichy,Premium,16.0,1711.0,1.0,Monthly,No
C0078,30.0,55451.0,Madurai,Premium,8.0,2091.0,2.0,Annual,No
C0079,45.0,82092.0,Madurai,Basic,71.0,328.0,2.0,Annual,No
C0080,50.0,,Chennai,Basic,7.0,653.0,1.0,Monthly,Yes
C0081,63.0,62270.0,Salem,Basic,46.0,693.0,0.0,Two-Year,No
C0082,40.0,72586.0,Madurai,Premium,26.0,2099.0,0.0,Annual,Yes
C0083,27.0,67761.0,Trichy,Basic,13.0,592.0,5.0,Annual,Yes
C0084,58.0,90561.0,Trichy,Standard,51.0,737.0,4.0,Monthly,No
C0085,48.0,78961.0,Coimbatore,Standard,70.0,860.0,3.0,Monthly,Yes
C0086,52.0,87376.0,Chennai,Premium,57.0,1538.0,4.0,Monthly,No
C0087,24.0,52102.0,Chennai,Standard,71.0,1025.0,2.0,Annual,No
C0088,34.0,93343.0,Coimbatore,Standard,43.0,1063.0,2.0,Annual,No
C0089,55.0,112352.0,Trichy,Premium,49.0,2036.0,1.0,Annual,No
C0090,58.0,44776.0,Coimbatore,Basic,11.0,793.0,2.0,Monthly,Yes
C0091,40.0,46920.0,Salem,Premium,62.0,1672.0,5.0,Annual,No
C0092,57.0,104730.0,Madurai,,54.0,439.0,4.0,Annual,Yes
C0093,58.0,65025.0,Chennai,Standard,19.0,923.0,1.0,,No
C0094,37.0,106499.0,Coimbatore,Premium,26.0,2445.0,3.0,Annual,No
C0095,61.0,58494.0,Madurai,Standard,44.0,1214.0,1.0,Two-Year,No
C0096,33.0,107831.0,Madurai,Standard,1.0,1102.0,2.0,Monthly,No
C0097,31.0,73419.0,Coimbatore,Basic,59.0,472.0,2.0,Annual,Yes
C0098,51.0,76714.0,Chennai,Standard,21.0,780.0,2.0,Two-Year,No
C0099,49.0,110683.0,,Standard,6.0,1049.0,2.0,Annual,Yes
C0100,26.0,60594.0,Chennai,Standard,24.0,1116.0,2.0,Monthly,Yes
C0101,58.0,45531.0,Trichy,Standard,61.0,885.0,6.0,Two-Year,No
C0102,29.0,58337.0,Chennai,Basic,20.0,710.0,2.0,Monthly,Yes
C0103,57.0,81761.0,Chennai,Basic,39.0,578.0,1.0,Monthly,No
C0104,20.0,29290.0,Coimbatore,Basic,59.0,388.0,1.0,Monthly,Yes
C0105,56.0,86574.0,Coimbatore,Standard,3.0,1240.0,3.0,Monthly,Yes
C0106,56.0,55992.0,Coimbatore,Basic,55.0,750.0,3.0,Monthly,Yes
C0107,55.0,,,Premium,21.0,2039.0,1.0,Annual,No
C0108,50.0,18000.0,Trichy,Standard,51.0,876.0,3.0,,No
C0109,41.0,49549.0,Coimbatore,Basic,14.0,517.0,1.0,Monthly,No
C0110,52.0,26152.0,Coimbatore,Standard,11.0,1054.0,0.0,,Yes
C0111,32.0,48518.0,Coimbatore,Premium,57.0,1433.0,0.0,Two-Year,No
C0112,55.0,76439.0,Chennai,Basic,59.0,503.0,0.0,Annual,No
C0113,45.0,65340.0,Madurai,Basic,71.0,714.0,3.0,Monthly,Yes
C0114,41.0,63412.0,Chennai,Basic,49.0,556.0,0.0,Monthly,Yes
C0115,43.0,65861.0,Madurai,Basic,34.0,722.0,3.0,Annual,Yes
C0116,46.0,75288.0,Chennai,Premium,15.0,1624.0,0.0,Two-Year,No
C0117,21.0,,Trichy,Premium,22.0,2307.0,3.0,Annual,No
C0118,26.0,88378.0,Coimbatore,Basic,47.0,636.0,0.0,Monthly,No
C0119,31.0,87229.0,Trichy,Standard,25.0,1371.0,4.0,Annual,No
C0120,25.0,80011.0,Coimbatore,Basic,35.0,592.0,4.0,Annual,No
C0121,40.0,84470.0,Chennai,Standard,13.0,1115.0,4.0,Annual,No
C0122,50.0,77707.0,Salem,Premium,32.0,2181.0,2.0,Two-Year,No
C0123,50.0,122912.0,Madurai,Standard,18.0,1192.0,2.0,Annual,Yes
C0124,41.0,67736.0,Salem,Basic,9.0,551.0,1.0,Annual,No
C0125,59.0,,,Standard,10.0,1166.0,3.0,Annual,Yes
C0126,46.0,50408.0,Madurai,Premium,38.0,1808.0,3.0,Annual,No
C0127,23.0,43161.0,Trichy,Basic,27.0,498.0,5.0,Annual,Yes
C0128,55.0,37644.0,Madurai,Basic,8.0,588.0,1.0,Monthly,Yes
C0129,46.0,46891.0,Coimbatore,Basic,38.0,530.0,3.0,Annual,No
C0130,49.0,68162.0,Madurai,Standard,12.0,,6.0,Annual,No
C0131,46.0,,Madurai,Standard,2.0,497.0,1.0,Annual,Yes
C0132,45.0,71330.0,Trichy,Premium,10.0,2234.0,0.0,Monthly,No
C0133,24.0,50096.0,Coimbatore,Premium,33.0,1947.0,1.0,Annual,Yes
C0134,45.0,93405.0,Coimbatore,Premium,69.0,2090.0,2.0,Annual,No
C0135,56.0,89225.0,Salem,Premium,18.0,1773.0,4.0,Monthly,Yes
C0136,33.0,65849.0,,Basic,21.0,613.0,2.0,Monthly,Yes
C0137,47.0,53024.0,Salem,Standard,18.0,1106.0,5.0,Monthly,Yes
C0138,21.0,84259.0,Coimbatore,Basic,26.0,318.0,2.0,Two-Year,No
C0139,35.0,74887.0,Chennai,Basic,52.0,387.0,0.0,Two-Year,No
C0140,40.0,32349.0,Salem,Premium,24.0,1574.0,6.0,Annual,Yes
C0141,65.0,68233.0,Chennai,Standard,48.0,888.0,1.0,Monthly,No
C0142,29.0,76813.0,Chennai,Premium,65.0,2015.0,1.0,Annual,No
C0143,32.0,46608.0,Madurai,Standard,69.0,964.0,3.0,Annual,No
C0144,38.0,74936.0,Salem,Standard,41.0,1187.0,2.0,Two-Year,No
C0145,65.0,32175.0,Trichy,Standard,52.0,986.0,1.0,Monthly,No
C0146,59.0,104741.0,Chennai,Basic,67.0,617.0,1.0,Monthly,No
C0147,21.0,102447.0,Chennai,Basic,57.0,566.0,1.0,Annual,No
C0148,30.0,63435.0,,Standard,22.0,1282.0,1.0,Monthly,No
C0149,57.0,79450.0,Chennai,Basic,10.0,424.0,2.0,Annual,Yes
C0150,22.0,18000.0,Chennai,Premium,9.0,2057.0,1.0,Annual,No
C0151,59.0,39935.0,Chennai,,64.0,404.0,4.0,Monthly,Yes
C0152,32.0,62362.0,Madurai,Basic,41.0,601.0,1.0,Monthly,No
C0153,62.0,42125.0,Trichy,Premium,22.0,1594.0,1.0,Annual,No
C0154,,88574.0,Salem,Basic,25.0,712.0,2.0,Two-Year,No
C0155,39.0,121930.0,Salem,Premium,21.0,1784.0,0.0,Annual,No
C0156,50.0,39408.0,Chennai,Standard,58.0,1328.0,5.0,Monthly,Yes
C0157,25.0,48226.0,Coimbatore,Basic,45.0,,2.0,Annual,Yes
C0158,45.0,76122.0,Coimbatore,Standard,64.0,997.0,2.0,Monthly,No
C0159,43.0,111889.0,Chennai,Standard,22.0,,1.0,Annual,No
C0160,56.0,38218.0,Chennai,Premium,35.0,1942.0,2.0,Annual,No
C0161,65.0,76475.0,Coimbatore,Premium,9.0,1694.0,3.0,Monthly,No
C0162,50.0,117354.0,Chennai,Standard,70.0,,2.0,Annual,No
C0163,38.0,27054.0,Madurai,Standard,37.0,1262.0,6.0,Annual,No
C0164,38.0,36692.0,Salem,Basic,40.0,403.0,5.0,Monthly,Yes
C0165,39.0,,Chennai,Standard,30.0,1184.0,3.0,Annual,Yes
C0166,57.0,56465.0,Coimbatore,Premium,20.0,1271.0,2.0,Two-Year,No
C0167,34.0,91128.0,Salem,Standard,69.0,1040.0,1.0,Annual,No
C0168,27.0,76283.0,Salem,Standard,36.0,1150.0,3.0,Monthly,No
C0169,35.0,23851.0,Salem,Standard,49.0,1029.0,6.0,Annual,Yes
C0170,21.0,83401.0,Coimbatore,Premium,3.0,1604.0,0.0,Monthly,Yes
C0171,24.0,54984.0,Salem,Premium,20.0,1717.0,2.0,Annual,No
C0172,24.0,103136.0,Chennai,Basic,58.0,622.0,3.0,Annual,No
C0173,55.0,53683.0,Coimbatore,Basic,7.0,533.0,6.0,Monthly,No
C0174,53.0,53448.0,Chennai,Standard,8.0,972.0,3.0,Monthly,Yes
C0175,52.0,84069.0,Coimbatore,Standard,59.0,1068.0,3.0,Two-Year,Yes
C0176,41.0,89836.0,Coimbatore,Standard,23.0,1408.0,1.0,Monthly,No
C0177,52.0,,Chennai,Basic,20.0,532.0,1.0,Annual,Yes
C0178,27.0,26174.0,Salem,Standard,41.0,930.0,2.0,Annual,Yes
C0179,61.0,83989.0,Coimbatore,,15.0,951.0,3.0,Annual,No
C0180,43.0,43108.0,Chennai,Standard,4.0,1349.0,3.0,Monthly,Yes
C0181,63.0,76117.0,Chennai,Standard,1.0,544.0,3.0,Monthly,Yes
C0182,27.0,,Coimbatore,Standard,6.0,,4.0,Monthly,Yes
